WikidataID|lang_en|label_en|P1545_ciic|P1545_ucc|description_en|alias_en|lang_de|label_de|description_de|alias_de||P186|P195_1|P248_C1|P195_2|P248_C2|P195_3|P248_C3|P625_coord|P189_place|P17_country|P189_county|P2043|P2048|P2049|P1684|P518_I|P6568_1|P518_IE1|P248_IER1|P6568_2|P518_IE2|P6568_3|P518_IE3|P6568_4|P518_IE4|P6568_5|P518_IE5|P5816
Q70892272|en|CIIC 1|1||Ogam Stone CIIC 1||de|CIIC 1|Ogam Stein CIIC 1||||||||||53.4855556,-9.316944444444443|Q85390377|Q27|Q169923||||LIE LUGUAEDON MACCI MENUEH|||||||||||||
Q70892276|en|CIIC 2|2||Ogam Stone CIIC 2||de|CIIC 2|Ogam Stein CIIC 2||||||||||53.8163889,-7.870555555555556|Q85390407|Q27|Q107397||||QENUVEN...|Q18122778||||||||||||
Q70892278|en|CIIC 3|3||Ogam Stone CIIC 3||de|CIIC 3|Ogam Stein CIIC 3||||||||||53.7816667,-8.805000000000001|Q85390382|Q27|Q178626||||CUNALEGI AVI QUNACANOS|||||||||||||
Q70899515|en|CIIC 4|4||Ogam Stone CIIC 4||de|CIIC 4|Ogam Stein CIIC 4|||Q13085|Q69387988|Q70256237|||||53.7736111,-8.765555555555556|Q72006009|Q27|Q178626|121.92|50.8|30.48|LUGADDON MAQI LUGUDEC DDISI MO[...]CQU S(?)EL|Q18122778||||||||||||Q56557159
Q70899516|en|CIIC 5|5||Ogam Stone CIIC 5||de|CIIC 5|Ogam Stein CIIC 5||||||||||53.8961111,-8.665277777777778|Q85390384|Q27|Q178626||||ALATTOS MAQI BR...|Q18122778||||||||||||
Q70892286|en|CIIC 6|6||Ogam Stone CIIC 6||de|CIIC 6|Ogam Stein CIIC 6||||||||||53.7286111,-8.709444444444443|Q85390409|Q27|Q178626||||QASIGN[i] MAQ[I]|Q18122778||||||||||||
Q70899519|en|CIIC 7|7||Ogam Stone CIIC 7||de|CIIC 7|Ogam Stein CIIC 7||||||||||54.0744444,-9.08388888888889|Q85390388|Q27|Q178626||||....MA]Q CERAN[I] AVI ATHECETAIMIN|Q18122778||||||||||||
Q70892288|en|CIIC 8|8||Ogam Stone CIIC 8||de|CIIC 8|Ogam Stein CIIC 8||||||||||53.7463889,-9.870000000000001|Q85390429|Q27|Q178626||||]OVI|Q18122778|Q67381254|Q18122778|Q70256237|||||||||
Q70892292|en|CIIC 9|9||Ogam Stone CIIC 9||de|CIIC 9|Ogam Stein CIIC 9||||||||||54.2602778,-9.330833333333333|Q85390391|Q27|Q178626||||MAQ-ACTO MAQ GAR[... MAQI MUCOI Z]|Q18122778||||||||||||
Q70892302|en|CIIC 10|10||Ogam Stone CIIC 10||de|CIIC 10|Ogam Stein CIIC 10||||||||||54.2486111,-9.248055555555554|Q85390394|Q27|Q178626||||L[E]GG               SD[...]LEŋESCAD MAQ CORRBRI MAQ AMMLLOŋITT|||||||||||||
Q70892303|en|CIIC 11|11||Ogam Stone CIIC 11||de|CIIC 11|Ogam Stein CIIC 11||||||||||53.84,-8.362222222222222|Q85390417|Q27|Q179437||||CUNOVATO|||||||||||||
Q70892306|en|CIIC 12|12||Ogam Stone CIIC 12||de|CIIC 12|Ogam Stein CIIC 12||||||||||53.8075,-8.297777777777778|Q85390711|Q27|Q179437||||VRAICCI MAQI MEDVVI|||||||||||||
Q70899521|en|CIIC 13|13||Ogam Stone CIIC 13||de|CIIC 13|Ogam Stein CIIC 13||||||||||53.8075,-8.297777777777778|Q85390711|Q27|Q179437||||QREGAS MU[...|Q18122778||||||||||||
Q70899522|en|CIIC 14|14||Ogam Stone CIIC 14||de|CIIC 14|Ogam Stein CIIC 14||||||||||52.6316667,-6.956388888888889|Q85391730|Q27|Q181882||||n/a|||||||||||||
Q70892312|en|CIIC 15|15||Ogam Stone CIIC 15||de|CIIC 15|Ogam Stein CIIC 15||||||||||52.8263889,-6.573611111111111|Q85391717|Q27|Q181882||||RENI|Q18122778|Q67381254|Q18122778|Q70256237|||||||||
Q70899524|en|CIIC 16|16||Ogam Stone CIIC 16||de|CIIC 16|Ogam Stein CIIC 16||||||||||52.7819444,-6.716666666666667|Q85391648|Q27|Q181882||||DUNAIDONAS MAQI MARIANI|||||||||||||
Q70892316|en|CIIC 17|17||Ogam Stone CIIC 17||de|CIIC 17|Ogam Stein CIIC 17||||||||||52.8480556,-6.727222222222222|Q85391650|Q27|Q181882||||MUCOI MUCC[I|Q18122778||||||||||||
Q70892318|en|CIIC 18|18||Ogam Stone CIIC 18||de|CIIC 18|Ogam Stein CIIC 18||||||||||53.4197222,-6.152500000000001|Q85391732|Q27|Q173500||||S   B           N                   GL T  DM...|Q18122778||||||||||||
Q70899528|en|CIIC 19|19||Ogam Stone CIIC 19||de|CIIC 19|Ogam Stein CIIC 19||||||||||53.0311111,-6.756388888888889|Q85391762|Q27|Q173500||||OVANOS AVI IVACATTOS|||||||||||||
Q70892328|en|CIIC 20|20||Ogam Stone CIIC 20||de|CIIC 20|Ogam Stein CIIC 20||||||||||53.0311111,-6.756388888888889|Q85391762|Q27|Q173500||||MAQI-DDECCEDA MAQI MARIN|||||||||||||
Q70899529|en|CIIC 21|21||Ogam Stone CIIC 21||de|CIIC 21|Ogam Stein CIIC 21||||||||||53.0311111,-6.756388888888889|Q85391762|Q27|Q173500||||.....]MAQQI COLLABOTA|Q18122778||||||||||||
Q70899530|en|CIIC 22|22||Ogam Stone CIIC 22||de|CIIC 22|Ogam Stein CIIC 22||||||||||53.0311111,-6.756388888888889|Q85391762|Q27|Q173500||||...EGNI KOI MAQI MUC[OI] A[L]I[NI]|Q18122778||||||||||||
Q70899537|en|CIIC 23|23||Ogam Stone CIIC 23||de|CIIC 23|Ogam Stein CIIC 23||||||||||53.0311111,-6.756388888888889|Q85391762|Q27|Q173500||||AV*S*S*MAQV*S|Q18122778||||||||||||
Q70899538|en|CIIC 24|24||Ogam Stone CIIC 24||de|CIIC 24|Ogam Stein CIIC 24||||||||||53.0311111,-6.756388888888889|Q85391762|Q27|Q173500||||UR|||||||||||||
Q70899541|en|CIIC 25|25||Ogam Stone CIIC 25||de|CIIC 25|Ogam Stein CIIC 25||||||||||53.0311111,-6.756388888888889|Q85391762|Q27|Q173500||||LA|||||||||||||
Q70899544|en|CIIC 26|26||Ogam Stone CIIC 26||de|CIIC 26|Ogam Stein CIIC 26||||||||||53.3752778,-6.551111111111111|Q85391654|Q27|Q173332||||NETTAVRECC [KOI?] MAQI MUCCOI TRENALUGGO|Q18122778||||||||||||
Q70892342|en|CIIC 27|27||Ogam Stone CIIC 27||de|CIIC 27|Ogam Stein CIIC 27||||||||||52.76,-7.524444444444445|Q85391701|Q27|Q173332||||CNAEMSECH CELLACH MINODOR MUAD MAELMAIRE MAELUADAIG MALMAIRE|||||||||||||
Q70892353|en|CIIC 28|28||Ogam Stone CIIC 28||de|CIIC 28|Ogam Stein CIIC 28||||||||||52.6513889,-7.150555555555556|Q85391656|Q27|Q180231||||TASEGAGNI [MAQ]I MUCOI MACORBO|Q18122778||||||||||||
Q70892354|en|CIIC 29|29||Ogam Stone CIIC 29||de|CIIC 29|Ogam Stein CIIC 29||||||||||52.6177778,-7.1722222222222225|Q85391719|Q27|Q180231||||BRAN[I]TTAS M[A]QI DUCR[I]DDA|Q18122778||||||||||||
Q70892357|en|CIIC 30|30||Ogam Stone CIIC 30||de|CIIC 30|Ogam Stein CIIC 30||||||||||52.6177778,-7.1722222222222225|Q85391719|Q27|Q180231||||NAVALLO AVVI GENITTAC[...|Q18122778||||||||||||
Q70892359|en|CIIC 31|31||Ogam Stone CIIC 31||de|CIIC 31|Ogam Stein CIIC 31||||||||||52.5188889,-7.036388888888888|Q85391658|Q27|Q180231||||DRUGNO MAQI MUCOI [....] NAMI|Q18122778||||||||||||
Q70892361|en|CIIC 32|32||Ogam Stone CIIC 32||de|CIIC 32|Ogam Stein CIIC 32||||||||||52.6325,-7.066111111111111|Q85391704|Q27|Q180231||||MAQI-ERACIAS MAQI DIMAQA MUCO[I....|Q18122778||||||||||||
Q70892363|en|CIIC 33|33||Ogam Stone CIIC 33||de|CIIC 33|Ogam Stein CIIC 33||||||||||52.5425,-6.958055555555556|Q85391660|Q27|Q180231||||n/a|||||||||||||
Q70892365|en|CIIC 34|34||Ogam Stone CIIC 34||de|CIIC 34|Ogam Stein CIIC 34||||||||||52.5386111,-7.158611111111111|Q85391706|Q27|Q180231||||LOBBI KOI MAQQI MUCCOI RINI|||||||||||||
Q70892367|en|CIIC 35|35||Ogam Stone CIIC 35||de|CIIC 35|Ogam Stein CIIC 35||||||||||52.5775,-7.121388888888888|Q85391735|Q27|Q180231||||VIR...|Q18122778||||||||||||
Q70892369|en|CIIC 36|36||Ogam Stone CIIC 36||de|CIIC 36|Ogam Stein CIIC 36||||||||||52.4438889,-7.360833333333333|Q85391666|Q27|Q180231||||SEVERRIT [MAQI MUCOI RO]TTAIS|Q18122778||||||||||||
Q70892376|en|CIIC 37|37||Ogam Stone CIIC 37||de|CIIC 37|Ogam Stein CIIC 37||||||||||52.4438889,-7.360833333333333|Q85391666|Q27|Q180231||||DOVATUCI [A]VI TULOTANAGIA|Q18122778||||||||||||
Q67510124|en|CIIC 38|38||Ogam Stone CIIC 38||de|CIIC 38|Ogam Stein CIIC 38|||Q207079|Q69387988|Q70256237|||||52.4719444,-7.231111111111111|Q69378747|Q27|Q180231|231.14|175.26|22.86|CORBI KOI MAQI LABRID [...|Q18122778||||||||||||Q56557159
Q70892378|en|CIIC 39|39||Ogam Stone CIIC 39||de|CIIC 39|Ogam Stein CIIC 39||||||||||53.845,-6.476666666666667|Q85391668|Q27|Q180231||||BRANOGENI|||||||||||||
Q70892380|en|CIIC 40|40||Ogam Stone CIIC 40||de|CIIC 40|Ogam Stein CIIC 40||||||||||53.6733333,-6.559166666666666|Q85391671|Q27|Q183539||||MAQI-CAIRATINI AVI INEQAGLAS|Q18122778||||||||||||
Q70892381|en|CIIC 41|41||Ogam Stone CIIC 41||de|CIIC 41|Ogam Stein CIIC 41||||||||||53.7358333,-6.96|Q85391673|Q27|Q183544||||COVAGNI MAQI MUCOI LUGUNI|||||||||||||
Q70892382|en|CIIC 42|42||Ogam Stone CIIC 42||de|CIIC 42|Ogam Stein CIIC 42||||||||||52.2505556,-6.720555555555555|Q85391707|Q27|Q183544||||n/a|||||||||||||
Q70892386|en|CIIC 43|43||Ogam Stone CIIC 43||de|CIIC 43|Ogam Stein CIIC 43||||||||||52.1173,-6.6177|Q85391722|Q27|Q184599||||LONAMNI AVI BARI|||||||||||||
Q70892388|en|CIIC 44|44||Ogam Stone CIIC 44||de|CIIC 44|Ogam Stein CIIC 44||||||||||52.2152778,-6.4275|Q85391675|Q27|Q184599||||IARNI|||||||||||||
Q70892390|en|CIIC 45|45||Ogam Stone CIIC 45||de|CIIC 45|Ogam Stein CIIC 45||||||||||52.5436111,-6.530277777777778|Q85391677|Q27|Q184599||||n/a|||||||||||||
Q70892393|en|CIIC 46|46||Ogam Stone CIIC 46||de|CIIC 46|Ogam Stein CIIC 46||||||||||52.1613889,-6.887777777777777|Q85391680|Q27|Q184599||||SEDAN[I MAQQI CAT]TABBOTT AVVI DERCMASOC|Q18122778||||||||||||
Q70892399|en|CIIC 47|47||Ogam Stone CIIC 47||de|CIIC 47|Ogam Stein CIIC 47||||||||||52.9091667,-6.063611111111111|Q85391708|Q27|Q184599||||NETA-CARI NETA CAGI|||||||||||||
Q70892402|en|CIIC 48|48||Ogam Stone CIIC 48||de|CIIC 48|Ogam Stein CIIC 48||||||||||53.0169444,-6.617777777777778|Q85391710|Q27|Q182591||||IAQINI KOI MAQI MUC ....|Q18122778||||||||||||
Q70892404|en|CIIC 49|49||Ogam Stone CIIC 49||de|CIIC 49|Ogam Stein CIIC 49||||||||||52.9663889,-6.624444444444445|Q85391683|Q27|Q182591||||..CCI MAQ..INI..|Q18122778||||||||||||
Q70892406|en|CIIC 50|50||Ogam Stone CIIC 50||de|CIIC 50|Ogam Stein CIIC 50||||||||||53.9469444,-6.608888888888888|Q85391685|Q27|Q182591||||VOTI|||||||||||||
Q70892409|en|CIIC 51|51||Ogam Stone CIIC 51||de|CIIC 51|Ogam Stein CIIC 51||||||||||52.9980556,-6.535|Q85391711|Q27|Q182591||||MAQI NILI|||||||||||||
Q70892410|en|CIIC 52|52||Ogam Stone CIIC 52||de|CIIC 52|Ogam Stein CIIC 52||||||||||53.0222222,-9.063611111111111|Q85393909|Q27|Q182591||||n/a|||||||||||||
Q70892412|en|CIIC 53|53||Ogam Stone CIIC 53||de|CIIC 53|Ogam Stein CIIC 53||||||||||52.8463,-8.9807|Q85394775|Q27|Q181862||||ATUCMLU|||||||||||||
Q70892414|en|CIIC 54|54||Ogam Stone CIIC 54||de|CIIC 54|Ogam Stein CIIC 54||||||||||52.8033333,-8.447777777777778|Q85393912|Q27|Q181862||||[TH]URGRIM RISTI [KR]US THINA BENDACHT [AR] TOROQR[IM]|Q18122778||||||||||||
Q70892416|en|CIIC 55|55||Ogam Stone CIIC 55||de|CIIC 55|Ogam Stein CIIC 55||||||||||51.7330556,-9.28361111111111|Q85394096|Q27|Q181862||||ANM SAINA MAQ OGALA MUCOI TEMOCA|||||||||||||
Q70892424|en|CIIC 56|56||Ogam Stone CIIC 56||de|CIIC 56|Ogam Stein CIIC 56||||||||||52.0680556,-8.599444444444446|Q85393991|Q27|Q162475||||SAGITTARI|||||||||||||
Q70892427|en|CIIC 57|57||Ogam Stone CIIC 57||de|CIIC 57|Ogam Stein CIIC 57|||Q22731|Q72006309|Q70256237|||||52.0811111,-8.601944444444444|Q72006007|Q27|Q162475|246.38|55.88|30.48|TRENU MAQI MUCOI QRITTI|||||||||||||Q56557159
Q70892430|en|CIIC 58|58||Ogam Stone CIIC 58||de|CIIC 58|Ogam Stein CIIC 58|||Q22731|Q72006309|Q70256237|||||52.0811111,-8.601944444444444|Q72006007|Q27|Q162475|n/a|n/a|n/a|CATTUBUTTAS MAQ[...|Q18122778||||||||||||Q56557159
Q70892431|en|CIIC 59|59||Ogam Stone CIIC 59||de|CIIC 59|Ogam Stein CIIC 59||||||||||52.0102778,-8.453333333333333|Q85393914|Q27|Q162475||||]UIVAIBES ]RTAGNI|Q18122778||||||||||||
Q70892434|en|CIIC 60|60||Ogam Stone CIIC 60||de|CIIC 60|Ogam Stein CIIC 60||||||||||52.0102778,-8.453333333333333|Q85393914|Q27|Q162475||||MAILAGN(I)|Q18122778||||||||||||
Q70885730|en|CIIC 61|61|24|Ogam Stone CIIC 61|Ogam Stone 24 (Stone Corridor at UCC)|de|CIIC 61|Ogam Stein CIIC 61|Ogham Stein 24 (Stein Corridor at UCC)|||||||||52.0086111,-8.360555555555555|Q85393915|Q27|Q162475||||OLAGNI MAQ[...|||||||||||||
Q70892436|en|CIIC 62|62||Ogam Stone CIIC 62||de|CIIC 62|Ogam Stein CIIC 62||||||||||51.9808333,-8.452777777777778|Q85393918|Q27|Q162475||||DOCRANORI|||||||||||||
Q70885723|en|CIIC 63|63|21|Ogam Stone CIIC 63|Ogam Stone 21 (Stone Corridor at UCC)|de|CIIC 63|Ogam Stein CIIC 63|Ogham Stein 21 (Stein Corridor at UCC)|||||||||51.9694444,-8.175555555555555|Q85393995|Q27|Q162475||||COLOMAGNI AVI DUCURI BRUSCO MAQI DOVALESCI|||||||||||||
Q70892438|en|CIIC 64|64||Ogam Stone CIIC 64||de|CIIC 64|Ogam Stein CIIC 64||||||||||51.9694444,-8.175555555555555|Q85393995|Q27|Q162475||||LODIMONI|||||||||||||
Q70892442|en|CIIC 65|65||Ogam Stone CIIC 65||de|CIIC 65|Ogam Stein CIIC 65||||||||||52.0052778,-8.24611111111111|Q85393922|Q27|Q162475||||LOGA MAQI SDANBI|||||||||||||
Q70892444|en|CIIC 66|66||Ogam Stone CIIC 66||de|CIIC 66|Ogam Stein CIIC 66||||||||||51.7122222,-9.935277777777777|Q85393998|Q27|Q162475||||MAQI-DECCEDDAS AVI TURANIAS|||||||||||||
Q70892450|en|CIIC 67|67||Ogam Stone CIIC 67||de|CIIC 67|Ogam Stein CIIC 67||||||||||51.6288889,-9.981666666666667|Q85394098|Q27|Q162475||||CARI|||||||||||||
Q70892452|en|CIIC 68|68||Ogam Stone CIIC 68||de|CIIC 68|Ogam Stein CIIC 68||||||||||51.7275,-9.711944444444443|Q85394111|Q27|Q162475||||LUGUQRIT [.........] LONAS|Q18122778||||||||||||
Q70892453|en|CIIC 69|69||Ogam Stone CIIC 69||de|CIIC 69|Ogam Stein CIIC 69||||||||||51.6788889,-8.846944444444444|Q85394002|Q27|Q162475||||GIRAGNI|||||||||||||
Q70892457|en|CIIC 70|70||Ogam Stone CIIC 70||de|CIIC 70|Ogam Stein CIIC 70||||||||||51.6788889,-8.846944444444444|Q85394002|Q27|Q162475||||CUNAGUSOS MAQi MUCOI VIRAGNI|||||||||||||
Q70892459|en|CIIC 71|71||Ogam Stone CIIC 71||de|CIIC 71|Ogam Stein CIIC 71||||||||||51.6788889,-8.846944444444444|Q85394002|Q27|Q162475||||COIMAGNI MAQI MOCOI GA...|Q18122778||||||||||||
Q70892460|en|CIIC 72|72||Ogam Stone CIIC 72||de|CIIC 72|Ogam Stein CIIC 72||||||||||51.7708333,-9.088055555555556|Q85394004|Q27|Q162475||||UBEDABO ALTASI|||||||||||||
Q70892463|en|CIIC 73|73||Ogam Stone CIIC 73||de|CIIC 73|Ogam Stein CIIC 73||||||||||51.6883333,-8.95611111111111|Q85393926|Q27|Q162475||||DOMNGEN|||||||||||||
Q70892466|en|CIIC 74|74||Ogam Stone CIIC 74||de|CIIC 74|Ogam Stein CIIC 74||||||||||51.6883333,-8.95611111111111|Q85393926|Q27|Q162475||||CONANN M[AQI] S...|Q18122778||||||||||||
Q70892468|en|CIIC 75|75||Ogam Stone CIIC 75||de|CIIC 75|Ogam Stein CIIC 75||||||||||51.7594444,-9.185833333333333|Q85393928|Q27|Q162475||||ANM CASONI [MAQ]I RODAGNI|Q18122778||||||||||||
Q70892474|en|CIIC 76|76||Ogam Stone CIIC 76||de|CIIC 76|Ogam Stein CIIC 76||||||||||51.645,-8.893055555555556|Q85394006|Q27|Q162475||||ANM TENAS MACi V[...|||||||||||||
Q70892476|en|CIIC 77|77||Ogam Stone CIIC 77||de|CIIC 77|Ogam Stein CIIC 77||||||||||51.5777778,-9.0125|Q85393931|Q27|Q162475||||n/a|||||||||||||
Q70892478|en|CIIC 78|78||Ogam Stone CIIC 78||de|CIIC 78|Ogam Stein CIIC 78||||||||||51.9577778,-8.539722222222222|Q85394074|Q27|Q162475||||n/a|||||||||||||
Q70892481|en|CIIC 79|79||Ogam Stone CIIC 79||de|CIIC 79|Ogam Stein CIIC 79||||||||||51.9772222,-8.075555555555555|Q85393934|Q27|Q162475||||ELUNA MU[C...|||||||||||||
Q70892484|en|CIIC 80|80||Ogam Stone CIIC 80||de|CIIC 80|Ogam Stein CIIC 80||||||||||51.9772222,-8.075555555555555|Q85393934|Q27|Q162475||||[M]|Q18122778||||||||||||
Q69385424|en|CIIC 81|81|4|Ogam Stone CIIC 81|Ogam Stone 4 (Stone Corridor at UCC)|de|CIIC 81|Ogam Stein CIIC 81|Ogham Stein 4 (Stein Corridor UCC)||Q22731|Q69387988|Q70256237|Q69379477|Q69379477|||51.8163889,-8.761666666666667|Q69385525|Q27|Q162475|17.78|175.26|48.26|C[A]SSITT[A]S MAQI MUCOI CALLITI|Q18122778||||||||||||Q56557591
Q70892485|en|CIIC 82|82||Ogam Stone CIIC 82||de|CIIC 82|Ogam Stein CIIC 82||||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||MAILAGURO MAQ[I...]VILEB[...|Q18122778||||||||||||
Q70885704|en|CIIC 83|83|14|Ogam Stone CIIC 83|Ogam Stone 14 (Stone Corridor at UCC)|de|CIIC 83|Ogam Stein CIIC 83|Ogham Stein 14 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||LAMADILICCI MAC MAIL BROCC|||||||||||||
Q70892488|en|CIIC 84|84||Ogam Stone CIIC 84||de|CIIC 84|Ogam Stein CIIC 84||||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||ERACOBI MAQI ERAQETAI|||||||||||||
Q70885695|en|CIIC 85|85|9|Ogam Stone CIIC 85|Ogam Stone 9 (Stone Corridor at UCC)|de|CIIC 85|Ogam Stein CIIC 85|Ogham Stein 9 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||GRILAGNI MAQI SCILAGNI|||||||||||||
Q70885716|en|CIIC 86|86|18|Ogam Stone CIIC 86|Ogam Stone 18 (Stone Corridor at UCC)|de|CIIC 86|Ogam Stein CIIC 86|Ogham Stein 18 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||CLIUCOANAS MAQI MAQI-RENI|||||||||||||
Q70885698|en|CIIC 87|87|11|Ogam Stone CIIC 87|Ogam Stone 11 (Stone Corridor at UCC)|de|CIIC 87|Ogam Stein CIIC 87|Ogham Stein 11 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||DRUTIQULI MAQI MAQI-RODAGNI|||||||||||||
Q70885720|en|CIIC 88|88|19|Ogam Stone CIIC 88|Ogam Stone 19 (Stone Corridor at UCC)|de|CIIC 88|Ogam Stein CIIC 88|Ogham Stein 19 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||BRANAN MAQI OQOLI|||||||||||||
Q70885690|en|CIIC 89|89|7|Ogam Stone CIIC 89|Ogam Stone 7 (Stone Corridor at UCC)|de|CIIC 89|Ogam Stein CIIC 89|Ogham Stein 7 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||BOGAI MAQI BIRACO|||||||||||||
Q70885712|en|CIIC 90|90|16|Ogam Stone CIIC 90|Ogam Stone 16 (Stone Corridor at UCC)|de|CIIC 90|Ogam Stein CIIC 90|Ogham Stein 16 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||CRONUN MAC BAIT|||||||||||||
Q70892490|en|CIIC 91|91||Ogam Stone CIIC 91||de|CIIC 91|Ogam Stein CIIC 91||||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||BLATEGSI|||||||||||||
Q70885713|en|CIIC 92|92|17|Ogam Stone CIIC 92|Ogam Stone 17 (Stone Corridor at UCC)|de|CIIC 92|Ogam Stein CIIC 92|Ogham Stein 17 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||ACTI MAQI [.....MAGO.|Q18122778||||||||||||
Q70885692|en|CIIC 93|93|8|Ogam Stone CIIC 93|Ogam Stone 8 (Stone Corridor at UCC)|de|CIIC 93|Ogam Stein CIIC 93|Ogham Stein 8 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||ERCAIDANA|||||||||||||
Q70885706|en|CIIC 94|94|15|Ogam Stone CIIC 94|Ogam Stone 15 (Stone Corridor at UCC)|de|CIIC 94|Ogam Stein CIIC 94|Ogham Stein 15 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||DOMMO MACI VEDUCERI|||||||||||||
Q70885703|en|CIIC 95|95|13|Ogam Stone CIIC 95|Ogam Stone 13 (Stone Corridor at UCC)|de|CIIC 95|Ogam Stein CIIC 95|Ogham Stein 13 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||NAM MEDDOGENI|||||||||||||
Q70885697|en|CIIC 96|96|10|Ogam Stone CIIC 96|Ogam Stone 10 (Stone Corridor at UCC)|de|CIIC 96|Ogam Stein CIIC 96|Ogham Stein 10 (Stein Corridor at UCC)|||||||||52.0269444,-8.071111111111112|Q85394270|Q27|Q162475||||COVALOTI|||||||||||||
Q70892493|en|CIIC 97|97||Ogam Stone CIIC 97||de|CIIC 97|Ogam Stein CIIC 97||||||||||51.8386111,-8.608333333333333|Q85394010|Q27|Q162475||||...]LL MAQI VORRTIGURN DOIBI|Q18122778||||||||||||
Q70892498|en|CIIC 98|98||Ogam Stone CIIC 98||de|CIIC 98|Ogam Stein CIIC 98||||||||||51.8386111,-8.608333333333333|Q85394010|Q27|Q162475||||CORBAGNI K[OI] M[A]Q[I] MOCCOI COROTANI|Q18122778||||||||||||
Q70892501|en|CIIC 99|99||Ogam Stone CIIC 99||de|CIIC 99|Ogam Stein CIIC 99||||||||||51.8386111,-8.608333333333333|Q85394010|Q27|Q162475||||SACATTINI|||||||||||||
Q70892504|en|CIIC 100|100||Ogam Stone CIIC 100||de|CIIC 100|Ogam Stein CIIC 100||||||||||51.8386111,-8.608333333333333|Q85394010|Q27|Q162475||||AB ULCCAGNI|||||||||||||
Q70892506|en|CIIC 101|101||Ogam Stone CIIC 101||de|CIIC 101|Ogam Stein CIIC 101||||||||||51.8386111,-8.608333333333333|Q85394010|Q27|Q162475||||MAQI-ESEA MAQI DOMANEQI|||||||||||||
Q70892509|en|CIIC 102|102||Ogam Stone CIIC 102||de|CIIC 102|Ogam Stein CIIC 102||||||||||51.8386111,-8.608333333333333|Q85394010|Q27|Q162475||||DILOGONN|||||||||||||
Q69377850|en|CIIC 103|103|1|Ogam Stone CIIC 103|Ogam Stone 1 (Stone Corridor at UCC)|de|CIIC 103|Ogam Stein CIIC 103|Ogham Stein 1 (Stein Corridor UCC)||Q13085|Q69387988|Q70256237|Q69379477|Q69379477|||52.0158333,-8.818333333333333|Q69378412|Q27|Q162475|10.16|142.24|38.1|CARRTTACC GAQI MU CAGG[I]|Q18122778||||||||||||Q56557591
Q70892510|en|CIIC 104|104||Ogam Stone CIIC 104||de|CIIC 104|Ogam Stein CIIC 104||||||||||51.9558333,-8.823888888888888|Q85394077|Q27|Q162475||||ANM CORRE MAQVI UDD[GLO]METT|Q18122778||||||||||||
Q70885728|en|CIIC 105|105|23|Ogam Stone CIIC 105|Ogam Stone 23 (Stone Corridor at UCC)|de|CIIC 105|Ogam Stein CIIC 105|Ogham Stein 23 (Stein Corridor at UCC)|||||||||51.9558333,-8.823888888888888|Q85394077|Q27|Q162475||||ANM NETACUNAS CELI VIDETTAS|||||||||||||
