WikidataID|lang_en|label_en|P1545_ciic|P1545_ucc|description_en|alias_en|lang_de|label_de|description_de|alias_de||P186|P195_1|P248_C1|P195_2|P248_C2|P195_3|P248_C3|P625_coord|P189_place|P17_country|P189_county|P2043|P2048|P2049|P1684|P518_I|P6568_1|P518_IE1|P248_IER1|P6568_2|P518_IE2|P6568_3|P518_IE3|P6568_4|P518_IE4|P6568_5|P518_IE5|P5816
Q70892513|en|CIIC 106|106||Ogam Stone CIIC 106||de|CIIC 106|Ogam Stein CIIC 106||||||||||51.9408333,-8.887777777777778|Q85393938|Q27|Q162475||||[COLAB]OT MAQI MAQI-RITE [MAQI MU]COI CORIBIRI|Q18122778||||||||||||
Q70885727|en|CIIC 107|107|22|Ogam Stone CIIC 107|Ogam Stone 22 (Stone Corridor at UCC)|de|CIIC 107|Ogam Stein CIIC 107|Ogham Stein 22 (Stein Corridor at UCC)|||||||||51.9911111,-8.866111111111111|Q85394126|Q27|Q162475||||CUNAGUSSOS MA[...|Q18122778||||||||||||
Q70892516|en|CIIC 108|108||Ogam Stone CIIC 108||de|CIIC 108|Ogam Stein CIIC 108||||||||||51.9875,-8.81|Q85394079|Q27|Q162475||||LUGUDUC MAQI MAQI-OC [...|Q18122778||||||||||||
Q70892518|en|CIIC 109|109||Ogam Stone CIIC 109||de|CIIC 109|Ogam Stein CIIC 109||||||||||51.9855556,-8.789444444444444|Q85394014|Q27|Q162475||||UDDMENSA CELI NETTASLOGI|||||||||||||
Q70892523|en|CIIC 110|110||Ogam Stone CIIC 110||de|CIIC 110|Ogam Stein CIIC 110||||||||||51.9575,-8.83888888888889|Q85393940|Q27|Q162475||||B..Q.....HAGA......DL|Q18122778|Q67381254|Q18122778|Q70256237|||||||||
Q70892526|en|CIIC 111|111||Ogam Stone CIIC 111||de|CIIC 111|Ogam Stein CIIC 111||||||||||51.9575,-8.83888888888889|Q85393940|Q27|Q162475||||LUDUDECA MAQU SI[TT?]ALI MUCOI M...|Q18122778||||||||||||
Q70885739|en|CIIC 112|112|27|Ogam Stone CIIC 112|Ogam Stone 27 (Stone Corridor at UCC)|de|CIIC 112|Ogam Stein CIIC 112|Ogham Stein 27 (Stein Corridor at UCC)|||||||||51.8680556,-8.794722222222221|Q69383268|Q27|Q162475||||MICANAVVI MAQ LUGUNI|||||||||||||
Q70382440|en|CIIC 113|113|5|Ogam Stone CIIC 113|Ogam Stone 5 (Stone Corridor at UCC)|de|CIIC 113|Ogam Stein CIIC 113|Ogham Stein 5 (Stein Corridor UCC)||Q207079|Q69383371|Q70256237|Q69379477|Q69379477|||51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|22.86|175.26|38.1|VEQIKAMI MAQI LUGUNI|||||||||||||Q56557591
Q70885736|en|CIIC 114|114|26|Ogam Stone CIIC 114|Ogam Stone 2a/b6 (Stone Corridor at UCC)|de|CIIC 114|Ogam Stein CIIC 114|Ogham Stein 26a/b (Stein Corridor at UCC)|||||||||51.8680556,-8.794722222222221|Q69383268|Q27|Q162475||||GRIMIGGN[I MAQ]I CERC...|||||||||||||
Q69383434|en|CIIC 115|115|2|Ogam Stone CIIC 115|Ogam Stone 2 (Stone Corridor at UCC)|de|CIIC 115|Ogam Stein CIIC 115|Ogham Stein 2 (Stein Corridor UCC)||Q22731|Q69383371|Q70256237|Q69379477|Q69379477|||51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|25.4|310.6|40.46|CULRIGAI MAQI MENUMAQ[I]|||||||||||||Q56557159
Q70382438|en|CIIC 116|116|6|Ogam Stone CIIC 116|Ogam Stone 6 (Stone Corridor at UCC)|de|CIIC 116|Ogam Stein CIIC 116|Ogham Stein 6 (Stein Corridor UCC)||Q70383318|Q69383371|Q70256237|Q69379477|Q69379477|||51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|25.4|190.05|43.18|BRANI MAQQI MUCC[OI......]R[A]L[...|Q18122778||||||||||||Q56557591
Q69385241|en|CIIC 117|117|3|Ogam Stone CIIC 117|Ogam Stone 3 (Stone Corridor at UCC)|de|CIIC 117|Ogam Stein CIIC 117|Ogham Stein 3 (Stein Corridor UCC)||Q1932127|Q69383371|Q70256237|Q69379477|Q69379477|||51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|27.94|156.21|40.46|COLLOS|||||||||||||Q56557159
Q70892527|en|CIIC 118|118||Ogam Stone CIIC 118||de|CIIC 118|Ogam Stein CIIC 118||||||||||51.9744444,-8.779444444444445|Q85394081|Q27|Q162475||||VEQREQ MUCOI GLUNLEGGET TENREN MONOI GDUQDEGGEV|||||||||||||
Q70892531|en|CIIC 119|119||Ogam Stone CIIC 119||de|CIIC 119|Ogam Stein CIIC 119||||||||||51.9744444,-8.779444444444445|Q85394081|Q27|Q162475||||DALAGNI MAQI DALI|||||||||||||
Q70892533|en|CIIC 120|120||Ogam Stone CIIC 120||de|CIIC 120|Ogam Stein CIIC 120||||||||||51.9744444,-8.779444444444445|Q85394081|Q27|Q162475||||BROINIENAS KOI NETA TTRENALUGOS.|||||||||||||
Q70892534|en|CIIC 121|121||Ogam Stone CIIC 121||de|CIIC 121|Ogam Stein CIIC 121||||||||||51.9744444,-8.779444444444445|Q85394081|Q27|Q162475||||VERGOSO MACI LLOMINACCA.|||||||||||||
Q70892536|en|CIIC 122|122||Ogam Stone CIIC 122||de|CIIC 122|Ogam Stein CIIC 122||||||||||51.9708333,-8.829444444444444|Q85394114|Q27|Q162475||||MADORA MAQI DEGO|||||||||||||
Q70892539|en|CIIC 123|123||Ogam Stone CIIC 123||de|CIIC 123|Ogam Stein CIIC 123||||||||||51.9708333,-8.829444444444444|Q85394114|Q27|Q162475||||MAQI-BRI.....CELI ALACA...|||||||||||||
Q70892540|en|CIIC 124|124||Ogam Stone CIIC 124||de|CIIC 124|Ogam Stein CIIC 124||||||||||51.8866667,-8.784166666666666|Q85394017|Q27|Q162475||||ANAVLAMATTIAS MUCCOI [..]OELURI AVI AKERAS|Q18122778||||||||||||
Q70892545|en|CIIC 125|125||Ogam Stone CIIC 125||de|CIIC 125|Ogam Stein CIIC 125||||||||||51.8866667,-8.784166666666666|Q85394017|Q27|Q162475||||MAQI-ERCIAS MAQI VALAMNI|||||||||||||
Q70892549|en|CIIC 126|126||Ogam Stone CIIC 126||de|CIIC 126|Ogam Stein CIIC 126||||||||||51.8866667,-8.784166666666666|Q85394017|Q27|Q162475||||VEDACUNA [MAQI] TOBIRA MUCOI SOGINI|Q18122778||||||||||||
Q70885722|en|CIIC 127|127|20|Ogam Stone CIIC 127|Ogam Stone 20 (Stone Corridor at UCC)|de|CIIC 127|Ogam Stein CIIC 127|Ogham Stein 20 (Stein Corridor at UCC)|||||||||51.9463889,-8.757222222222222|Q85394019|Q27|Q162475||||MAQILASPOG B TTMACDE|||||||||||||
Q70885734|en|CIIC 128|128|25|Ogam Stone CIIC 128|Ogam Stone 25 (Stone Corridor at UCC)|de|CIIC 128|Ogam Stein CIIC 128|Ogham Stein 25 (Stein Corridor at UCC)|||||||||52.0075,-8.909166666666668|Q85393943|Q27|Q162475||||DOVETI MAQI LOCARENAS CELI MAQI-CULIDOVI|||||||||||||
Q70892550|en|CIIC 129|129||Ogam Stone CIIC 129||de|CIIC 129|Ogam Stein CIIC 129||||||||||51.5086111,-9.02638888888889|Q85393945|Q27|Q162475||||VEQOANAI MAQI EQOD[..|Q18122778||||||||||||
Q70892553|en|CIIC 130|130||Ogam Stone CIIC 130||de|CIIC 130|Ogam Stein CIIC 130||||||||||52.0666667,-8.928055555555554|Q85393948|Q27|Q162475||||SECIDARI|||||||||||||
Q70892555|en|CIIC 131|131||Ogam Stone CIIC 131||de|CIIC 131|Ogam Stein CIIC 131||||||||||51.8494444, -9.115|Q85394021|Q27|Q162475||||LITUBIRI MAQI QECIA|||||||||||||
Q70892556|en|CIIC 132|132||Ogam Stone CIIC 132||de|CIIC 132|Ogam Stein CIIC 132||||||||||51.8494444, -9.115|Q85394021|Q27|Q162475||||LACAVAGNI|||||||||||||
Q70892558|en|CIIC 133|133||Ogam Stone CIIC 133||de|CIIC 133|Ogam Stein CIIC 133||||||||||51.8494444, -9.115|Q85394021|Q27|Q162475||||VAITEVIA|||||||||||||
Q70892561|en|CIIC 134|134||Ogam Stone CIIC 134||de|CIIC 134|Ogam Stein CIIC 134||||||||||51.8283333,-9.228055555555555|Q85394084|Q27|Q162475||||ASSICONA|||||||||||||
Q70892563|en|CIIC 135|135||Ogam Stone CIIC 135||de|CIIC 135|Ogam Stein CIIC 135||||||||||51.9261111,-9.08388888888889|Q85394128|Q27|Q162475||||MINNACCANNI MAQI AILLUATTAN|||||||||||||
Q70892567|en|CIIC 136|136||Ogam Stone CIIC 136||de|CIIC 136|Ogam Stein CIIC 136||||||||||52.3288889,-9.772777777777778|Q85394024|Q27|Q162475||||CT[A]N ... QLOG|Q18122778||||||||||||
Q70892569|en|CIIC 137|137||Ogam Stone CIIC 137||de|CIIC 137|Ogam Stein CIIC 137||||||||||52.3627778,-9.724166666666667|Q85394087|Q27|Q184469||||ANM VEDLLOIGGOI MACI SEDDOINI|Q18122778||||||||||||
Q70892572|en|CIIC 138|138||Ogam Stone CIIC 138||de|CIIC 138|Ogam Stein CIIC 138||||||||||52.1294444,-10.17611111111111|Q85393952|Q27|Q184469||||LADDIGNI MAQQI MUCCOI AN...|||||||||||||
Q70892574|en|CIIC 139|139||Ogam Stone CIIC 139||de|CIIC 139|Ogam Stein CIIC 139||||||||||52.1294444,-10.17611111111111|Q85393952|Q27|Q184469||||LAIDANN MAQI MACORBO|||||||||||||
Q70892577|en|CIIC 140|140||Ogam Stone CIIC 140||de|CIIC 140|Ogam Stein CIIC 140||||||||||52.1294444,-10.17611111111111|Q85393952|Q27|Q184469||||LUGUVVECCA MAQI[...|Q18122778||||||||||||
Q70892578|en|CIIC 141|141||Ogam Stone CIIC 141||de|CIIC 141|Ogam Stein CIIC 141||||||||||52.1330556,-10.138055555555555|Q85393955|Q27|Q184469||||MAQI MQ[I-...O]GGODIKA.|Q18122778||||||||||||
Q70892582|en|CIIC 142|142||Ogam Stone CIIC 142||de|CIIC 142|Ogam Stein CIIC 142||||||||||52.1330556,-10.138055555555555|Q85393955|Q27|Q184469||||...] CELI AVI VU[..|Q18122778||||||||||||
Q70892584|en|CIIC 143|143||Ogam Stone CIIC 143||de|CIIC 143|Ogam Stein CIIC 143||||||||||52.1591667,-10.063055555555556|Q85394130|Q27|Q184469||||TAQMAQO|Q18122778|Q67381254|Q18122778|Q70256237|||||||||
Q70892586|en|CIIC 144|144||Ogam Stone CIIC 144||de|CIIC 144|Ogam Stein CIIC 144||||||||||52.1430556,-10.049166666666666|Q85394026|Q27|Q184469||||DITAV|||||||||||||
Q70892592|en|CIIC 145|145||Ogam Stone CIIC 145||de|CIIC 145|Ogam Stein CIIC 145||||||||||52.2675,-10.236944444444443|Q85394028|Q27|Q184469||||QRIMITIR RON[A]NN MAQ COMOGANN|Q18122778||||||||||||
Q70892594|en|CIIC 146|146||Ogam Stone CIIC 146||de|CIIC 146|Ogam Stein CIIC 146||||||||||52.1666667,-10.382222222222223|Q85393959|Q27|Q184469||||LUGUQRIT MA[QI] QRITT[I]|Q18122778||||||||||||
Q70892598|en|CIIC 147|147||Ogam Stone CIIC 147||de|CIIC 147|Ogam Stein CIIC 147||||||||||52.1405556,-10.2075|Q85393961|Q27|Q184469||||MOINENA MAQI OLACON|||||||||||||
Q70892599|en|CIIC 148|148||Ogam Stone CIIC 148||de|CIIC 148|Ogam Stein CIIC 148||||||||||52.1761111,-10.386111111111111|Q85394310|Q27|Q184469||||DUBONIRRAS MAQQI TENAC[I]|Q18122778||||||||||||
Q70892602|en|CIIC 149|149||Ogam Stone CIIC 149||de|CIIC 149|Ogam Stein CIIC 149||||||||||52.1761111,-10.386111111111111|Q85394310|Q27|Q184469||||MQQI-QETTI MAQQI CUNITTI|||||||||||||
Q70892604|en|CIIC 150|150||Ogam Stone CIIC 150||de|CIIC 150|Ogam Stein CIIC 150||||||||||52.1761111,-10.386111111111111|Q85394310|Q27|Q184469||||GRAVICAS MAQI MUCOI DOVVINIAS|||||||||||||
Q70892606|en|CIIC 151|151||Ogam Stone CIIC 151||de|CIIC 151|Ogam Stein CIIC 151||||||||||52.1761111,-10.386111111111111|Q85394310|Q27|Q184469||||BROINIOAS|||||||||||||
Q70892609|en|CIIC 152|152||Ogam Stone CIIC 152||de|CIIC 152|Ogam Stein CIIC 152||||||||||52.1761111,-10.386111111111111|Q85394310|Q27|Q184469||||LUBBAIS MAQQI DUN....S|Q18122778||||||||||||
Q70892611|en|CIIC 153|153||Ogam Stone CIIC 153||de|CIIC 153|Ogam Stein CIIC 153||||||||||52.1761111,-10.386111111111111|Q85394310|Q27|Q184469||||CCUCAMINI MAQQI CATTINI|Q18122778|Q68000462|Q18122778|Q70256237|||||||||
Q85409935|en|CIIC 154|154||Ogam Stone CIIC 154||de|CIIC 154|Ogam Stein CIIC 154|||Q13085|Q69379601|Q70256237|||||52.1761111,-10.386111111111111|Q85394310|Q27|Q184469|172.72|50.8|17.78|CUNAMAQQI CORBBI MAQQ[I MUCCOI DOVVINIA]S|Q18122778||||||||||||Q56557591
Q70892616|en|CIIC 155|155||Ogam Stone CIIC 155||de|CIIC 155|Ogam Stein CIIC 155||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||AKEVRITTI|||||||||||||
Q70892620|en|CIIC 156|156||Ogam Stone CIIC 156||de|CIIC 156|Ogam Stein CIIC 156||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||MAQQI-IARI KOI MAQQI MUCCOI DOVVINIAS|||||||||||||
Q70892623|en|CIIC 157|157||Ogam Stone CIIC 157||de|CIIC 157|Ogam Stein CIIC 157||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||DOVETI MAQQi CATTINI|||||||||||||
Q70892626|en|CIIC 158|158||Ogam Stone CIIC 158||de|CIIC 158|Ogam Stein CIIC 158||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||SUVALLOS MAQQI DUCOVAROS|||||||||||||
Q70892629|en|CIIC 159|159||Ogam Stone CIIC 159||de|CIIC 159|Ogam Stein CIIC 159||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||MAQI - DECCEDA MAQI GLASICONAS|||||||||||||
Q70892630|en|CIIC 160|160||Ogam Stone CIIC 160||de|CIIC 160|Ogam Stein CIIC 160||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||TRIA MAQA MAILAGNI CURCITTI|||||||||||||
Q70892632|en|CIIC 161|161||Ogam Stone CIIC 161||de|CIIC 161|Ogam Stein CIIC 161||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||INISSIONAS|||||||||||||
Q70892635|en|CIIC 162|162||Ogam Stone CIIC 162||de|CIIC 162|Ogam Stein CIIC 162||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||CUNAMAQQI AVI CORBBI|||||||||||||
Q70892636|en|CIIC 163|163||Ogam Stone CIIC 163||de|CIIC 163|Ogam Stein CIIC 163||||||||||52.1725,-10.031111111111112|Q85393964|Q27|Q184469||||NETTA-LAMINACCA KOI MAQQI MUCOI DOVIN[IA]S|Q18122778||||||||||||
Q70892643|en|CIIC 164|164||Ogam Stone CIIC 164||de|CIIC 164|Ogam Stein CIIC 164||||||||||52.1552778,-10.03138888888889|Q85395620|Q27|Q184469||||VOENACUNAS M....|Q18122778||||||||||||
Q70892646|en|CIIC 165|165||Ogam Stone CIIC 165||de|CIIC 165|Ogam Stein CIIC 165||||||||||52.1552778,-10.03138888888889|Q85395620|Q27|Q184469||||[D]DROGNO|Q18122778||||||||||||
Q70892648|en|CIIC 166|166||Ogam Stone CIIC 166||de|CIIC 166|Ogam Stein CIIC 166||||||||||52.1869444,-10.159444444444444|Q85395552|Q27|Q184469||||COIMAGNI MAQI VITALIN|||||||||||||
Q70892652|en|CIIC 167|167||Ogam Stone CIIC 167||de|CIIC 167|Ogam Stein CIIC 167||||||||||52.1658333,-10.0375|Q85395515|Q27|Q184469||||.. [MAQ]I DROGNO MU[COI] ...|Q18122778||||||||||||
Q70892653|en|CIIC 168|168||Ogam Stone CIIC 168||de|CIIC 168|Ogam Stein CIIC 168||||||||||52.1658333,-10.0375|Q85395515|Q27|Q184469||||IRCCITOS|||||||||||||
Q70892655|en|CIIC 169|169||Ogam Stone CIIC 169||de|CIIC 169|Ogam Stein CIIC 169||||||||||52.1605556,-10.323333333333332|Q85395517|Q27|Q184469||||MAQI - LIAG MAQI ERCA|||||||||||||
Q70892659|en|CIIC 170|170||Ogam Stone CIIC 170||de|CIIC 170|Ogam Stein CIIC 170||||||||||52.1513889,-10.3275|Q85395592|Q27|Q184469||||QENILOCI MAQI MAQI - AINIA MUC[---|Q18122778||||||||||||
Q70892660|en|CIIC 171|171||Ogam Stone CIIC 171||de|CIIC 171|Ogam Stein CIIC 171||||||||||52.1875,-10.029722222222222|Q85395518|Q27|Q184469||||DUGENNGG[I] MAQI RODDOS|Q18122778||||||||||||
Q70892662|en|CIIC 172|172||Ogam Stone CIIC 172||de|CIIC 172|Ogam Stein CIIC 172||||||||||52.1558333,-10.400833333333333|Q85395519|Q27|Q184469||||TOGITTACC MAQI SAGARETTOS|||||||||||||
Q70892669|en|CIIC 173|173||Ogam Stone CIIC 173||de|CIIC 173|Ogam Stein CIIC 173||||||||||52.1469444,-10.036388888888888|Q85395554|Q27|Q184469||||[MAQ]QI MUCC[OI]|Q18122778||||||||||||
Q70892670|en|CIIC 174|174||Ogam Stone CIIC 174||de|CIIC 174|Ogam Stein CIIC 174||||||||||52.1869444,-10.159444444444444|Q85395555|Q27|Q184469||||n/a|||||||||||||
Q70892674|en|CIIC 175|175||Ogam Stone CIIC 175||de|CIIC 175|Ogam Stein CIIC 175||||||||||52.1258333,-10.306944444444445|Q85395594|Q27|Q184469||||MAQQI-ERCCIAS MAQQI MUCOI DOVINIA|||||||||||||
Q70892676|en|CIIC 176|176||Ogam Stone CIIC 176||de|CIIC 176|Ogam Stein CIIC 176||||||||||52.215,-9.910277777777779|Q85395556|Q27|Q184469||||CONUNETT MOQI CONURI.|Q18122778|Q67999759|Q18122778|Q70256237|||||||||
Q70892679|en|CIIC 177|177||Ogam Stone CIIC 177||de|CIIC 177|Ogam Stein CIIC 177||||||||||52.215,-9.910277777777779|Q85395556|Q27|Q184469||||CCILARI AV[I].....COI VAG....|Q18122778|Q67999759|Q18122778|Q70256237|||||||||
Q70892682|en|CIIC 178|178||Ogam Stone CIIC 178||de|CIIC 178|Ogam Stein CIIC 178||||||||||52.1119444,-10.458333333333332|Q85395557|Q27|Q184469||||ERC MAQI MAQI-ERCIAS MU DOVINIA|||||||||||||
Q70892683|en|CIIC 179|179||Ogam Stone CIIC 179||de|CIIC 179|Ogam Stein CIIC 179||||||||||52.14,-10.270000000000001|Q85395597|Q27|Q184469||||......ETORIGAS|Q18122778||||||||||||
Q70892686|en|CIIC 180|180||Ogam Stone CIIC 180||de|CIIC 180|Ogam Stein CIIC 180||||||||||52.1330556,-10.228055555555555|Q85395559|Q27|Q184469||||BRUSCCOS MAQQI CALIACI[AS] M[AQQI MUCOI...|Q18122778||||||||||||
Q70892689|en|CIIC 181|181||Ogam Stone CIIC 181||de|CIIC 181|Ogam Stein CIIC 181||||||||||52.1352778,-10.270555555555557|Q85395521|Q27|Q184469||||TALAGNI MAQ....|Q18122778||||||||||||
Q70892693|en|CIIC 182|182||Ogam Stone CIIC 182||de|CIIC 182|Ogam Stein CIIC 182||||||||||52.1869444,-10.159444444444444|Q85395522|Q27|Q184469||||GANICCA|||||||||||||
Q70892695|en|CIIC 183|183||Ogam Stone CIIC 183||de|CIIC 183|Ogam Stein CIIC 183||||||||||52.1033333,-10.437222222222223|Q85395523|Q27|Q184469||||n/a|||||||||||||
Q70892699|en|CIIC 184|184||Ogam Stone CIIC 184||de|CIIC 184|Ogam Stein CIIC 184||||||||||52.1408333,-10.126666666666667|Q85395524|Q27|Q184469||||MAQQI-DECEDDA MAQQI CATUVIQ[QA]|Q18122778||||||||||||
Q70892701|en|CIIC 185|185||Ogam Stone CIIC 185||de|CIIC 185|Ogam Stein CIIC 185||||||||||52.0444444,-10.607777777777777|Q85395526|Q27|Q184469||||[CO?]BB[A?] AVI VLATIAMI MAQ...|Q18122778||||||||||||
Q70892704|en|CIIC 186|186||Ogam Stone CIIC 186||de|CIIC 186|Ogam Stein CIIC 186||||||||||52.1533333,-10.300555555555556|Q85395599|Q27|Q184469||||EQODDI SCI FINTEN|||||||||||||
Q70892706|en|CIIC 187|187||Ogam Stone CIIC 187||de|CIIC 187|Ogam Stein CIIC 187||||||||||52.1883333,-10.333055555555555|Q85395528|Q27|Q184469||||ANM MAILE-INBIR MACI BROCANN|||||||||||||
Q70892708|en|CIIC 188|188||Ogam Stone CIIC 188||de|CIIC 188|Ogam Stein CIIC 188||||||||||52.1205556,-10.194444444444445|Q85395530|Q27|Q184469||||MARIANI|||||||||||||
Q70892711|en|CIIC 189|189||Ogam Stone CIIC 189||de|CIIC 189|Ogam Stein CIIC 189||||||||||52.1205556,-10.194444444444445|Q85395530|Q27|Q184469||||SAŊTI LLOTETI AVI SRUSA.|||||||||||||
Q70892714|en|CIIC 190|190||Ogam Stone CIIC 190||de|CIIC 190|Ogam Stein CIIC 190||||||||||52.1358333,-10.124722222222223|Q85395562|Q27|Q184469||||GOSSUCTTIAS|||||||||||||
Q70892719|en|CIIC 191|191||Ogam Stone CIIC 191||de|CIIC 191|Ogam Stein CIIC 191||||||||||52.1358333,-10.124722222222223|Q85395562|Q27|Q184469||||GAMICUNAS|||||||||||||
Q70892722|en|CIIC 192|192||Ogam Stone CIIC 192||de|CIIC 192|Ogam Stein CIIC 192||||||||||52.2519444,-10.023333333333333|Q85395622|Q27|Q184469||||QENILOCGNI MAQI D...|Q18122778|Q67999759|Q18122778|Q70256237|||||||||
Q70892725|en|CIIC 193|193||Ogam Stone CIIC 193||de|CIIC 193|Ogam Stein CIIC 193||||||||||52.1447222,-10.359444444444444|Q85395564|Q27|Q184469||||ANM COLMAN AILITHIR|||||||||||||
Q70892726|en|CIIC 194|194||Ogam Stone CIIC 194||de|CIIC 194|Ogam Stein CIIC 194||||||||||52.1677778,-10.024444444444445|Q85395627|Q27|Q184469||||SIDANI MAQI DALO|||||||||||||
Q85409967|en|CIIC 194a|194a||Ogam Stone CIIC 194a||de|CIIC 194a|Ogam Stein CIIC 194a||||||||||52.1677778,-10.024444444444445|Q85395627|Q27|Q184469||||LLONNOCC MAQQ[...|Q18122778||||||||||||
Q70892731|en|CIIC 195|195||Ogam Stone CIIC 195||de|CIIC 195|Ogam Stein CIIC 195||||||||||52.1725,-9.990555555555554|Q85395567|Q27|Q184469||||CURCI MAQI MUCOI V[...|Q18122778||||||||||||
Q70892732|en|CIIC 196|196||Ogam Stone CIIC 196||de|CIIC 196|Ogam Stein CIIC 196||||||||||52.1725,-9.990555555555554|Q85395567|Q27|Q184469||||ERCAVICCAS MAQI CO[...|||||||||||||
Q70892734|en|CIIC 197|197||Ogam Stone CIIC 197||de|CIIC 197|Ogam Stein CIIC 197||||||||||52.0611111,-9.642777777777777|Q69379704|Q27|Q184469||||DEGOS MAQI MOCOI TOICAKI|||||||||||||
Q70892738|en|CIIC 198|198||Ogam Stone CIIC 198||de|CIIC 198|Ogam Stein CIIC 198||||||||||52.0611111,-9.642777777777777|Q69379704|Q27|Q184469||||MAQI-RITEAS MAQI MAQI-DDUMILEAS MUCOI TOICACI|||||||||||||
Q70892739|en|CIIC 199|199||Ogam Stone CIIC 199||de|CIIC 199|Ogam Stein CIIC 199||||||||||52.0611111,-9.642777777777777|Q69379704|Q27|Q184469||||CUNACENA|||||||||||||
Q70892745|en|CIIC 200|200||Ogam Stone CIIC 200||de|CIIC 200|Ogam Stein CIIC 200||||||||||52.0611111,-9.642777777777777|Q69379704|Q27|Q184469||||MAQI-TTAL MAQI VORGOS MAQI MUCOI TOICAC|||||||||||||
Q70892748|en|CIIC 201|201||Ogam Stone CIIC 201||de|CIIC 201|Ogam Stein CIIC 201||||||||||52.0611111,-9.642777777777777|Q69379704|Q27|Q184469||||MC[ ]GE [ ]M [..] Q[ ] ..[ ]D [ ]E|Q18122778||||||||||||
Q70892750|en|CIIC 202|202||Ogam Stone CIIC 202||de|CIIC 202|Ogam Stein CIIC 202||||||||||52.0611111,-9.642777777777777|Q69379704|Q27|Q184469||||NIOTTVRECC MAQI [....]GNI|Q18122778||||||||||||
Q67978531|en|CIIC 203|203||Ogam Stone CIIC 203||de|CIIC 203|Ogam Stein CIIC 203|||Q13085|Q69379810|Q70256237|||||52.0611111,-9.642777777777777|Q69379704|Q27|Q184469|81.28|25.4|6.99|MAQI-DECEDA MAQ̣[...|Q18122778||||||||||||Q56557159
Q70892754|en|CIIC 204|204||Ogam Stone CIIC 204||de|CIIC 204|Ogam Stein CIIC 204||||||||||52.2086111,-9.621666666666668|Q85395570|Q27|Q184469||||ANM MAGANN MAQI NUADAT|||||||||||||
Q70892756|en|CIIC 205|205||Ogam Stone CIIC 205||de|CIIC 205|Ogam Stein CIIC 205||||||||||51.9744444,-9.665000000000001|Q85395535|Q27|Q184469||||S[M]....BNAG MA[Q?]QI ERCIA|Q18122778||||||||||||
Q70892757|en|CIIC 206|206||Ogam Stone CIIC 206||de|CIIC 206|Ogam Stein CIIC 206||||||||||52.0719444,-9.747222222222222|Q85395537|Q27|Q184469||||ANM VIRR[...]ANNI TIGIRN CEDATTOQA MAQI VEDELMET[T]|Q18122778||||||||||||
Q70892761|en|CIIC 207|207||Ogam Stone CIIC 207||de|CIIC 207|Ogam Stein CIIC 207||||||||||52.0719444,-9.747222222222222|Q85395537|Q27|Q184469||||....]ECC MAQI L[UGUQ]RRIT|Q18122778||||||||||||
Q70892763|en|CIIC 208|208||Ogam Stone CIIC 208||de|CIIC 208|Ogam Stein CIIC 208||||||||||52.0719444,-9.747222222222222|Q85395537|Q27|Q184469||||UMALL|||||||||||||
Q70892767|en|CIIC 209|209||Ogam Stone CIIC 209||de|CIIC 209|Ogam Stein CIIC 209||||||||||52.0719444,-9.747222222222222|Q85395537|Q27|Q184469||||...]GGO MAQI AGILL[....|Q18122778||||||||||||
