Stone|Inscription|Transcription|Width|Height|Depth
10._Breastagh|ᚇᚓᚈᚓᚏ  ᚐᚅᚌᚂᚓ    ᚂᚌᚌ  ᚄᚇᚂᚓᚅᚌᚓᚄᚉᚐᚇ    ᚄᚔᚅᚔᚄᚈᚓᚏ  ᚐᚅᚌᚂᚓ    ᚋᚐᚊ  ᚉᚑᚏᚏᚁᚏᚔ    ᚋᚐᚊ  ᚐᚋᚋᚂᚂᚑᚅᚌᚔᚈᚈ   |Dexter angle: LGG SDLENGESCAD Sinister angle: MAQ CORRBRI MAQ AMMLLONGITT|0.76|3.66|0.60
100._Ballyhank IV|    ᚐᚁ  ᚒᚂᚉᚉᚐᚌᚅᚔ |AB ULCCAGNI|0.6|1.3|0.2
101._Ballyhank V|    ᚋᚐᚊᚔᚓᚄᚓᚐ  ᚋᚐᚊᚔ  ᚇᚑᚋᚐᚅᚓᚊᚔ |MAQI-ESE/A MAQI DOMANE/QI|0.5|1.4|0.4
102._Ballyhank VI|  ᚇᚔᚂᚑᚌᚑᚅᚅ |DILOGONN|0.3|1.1|0.3
1083._Rathkenny I|  ᚉᚑᚋᚋᚐᚌᚌᚐᚌᚅᚔ    ᚋᚒᚉᚑᚔ  ᚔᚄᚐᚋᚋᚅᚅ   |COMMAGGAGNI MUCOI/ ISAMMNN|0.40|1.00|0.18
1084._Rathkenny II|  ᚑᚂᚔᚄᚄᚓᚌᚃᚑᚌ   |OLISSEGVOG|0.24|0.82|0.19
11._Drummin I|  ᚉᚒᚅᚑᚃᚐᚈᚑ   |CUNOVATO|0.41|1.09|0.51
118._Monataggart I|      ᚃᚓᚊᚏᚓᚊ    ᚋᚑᚊᚑᚔ  ᚌᚂᚒᚅᚂᚓᚌᚌᚓᚈ |VEQREQ MOQOI GLUNLEGGET|0.43|2.20|0.30
119._Monataggart II|    ᚇᚐᚂᚐᚌᚅᚔ    ᚋᚐᚊᚔ  ᚇᚐᚂᚔ   |DALAGNI MAQI DALI|0.39|0.91|0.11
12._Rathcroghan I|  ᚃᚏᚐᚔᚉᚉᚔ  ᚋᚐᚊᚔ  ᚋᚓᚇᚃᚃᚔ   |VRAICCI/ MAQI MEDVVI|0.48|1.23|0.16
120._Monataggart III|    ᚁᚏᚑᚔᚅᚔᚓᚅᚐᚄ  ᚕᚑᚔ  ᚅᚓᚈᚈᚐᚈᚈᚏᚓᚅᚐᚂᚒᚌᚑᚄ |BROINIENAS KOI NETTA-TTRENALUGOS|0.36|1.88|0.27
13._Rathcroghan II|  ᚋᚐᚊ  ᚏᚓᚌᚐᚄ  ᚋᚒᚉᚑᚔ   |MAQ REGAS MUCOI|0.56|1.40|0.25
136._Ardfert I|  ᚉᚈᚐᚅᚊᚂᚑᚌ |CTAN/QLOG|0.30|1.22|0.28
141._Aglish I|    ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚑᚌᚌᚑᚇᚔᚕᚐ |MAQI MAQI/OGGODIKA|0.25|0.88|0.05
142._Aglish II|    ᚉᚓᚂᚔ  ᚐᚃᚔ    ᚃᚒᚇ |CELI AVI VUD?|0.25|0.90|
145._Arraglen|  ᚊᚏᚔᚋᚔᚈᚔᚏ  ᚏᚑᚅᚐᚅᚅ  ᚋᚐᚊ  ᚉᚑᚋᚑᚌᚐᚅᚅ |QRIMITIR RO/NA/NN MAQ COMOGANN|0.38|1.91|0.20
146._Ballineanig|      ᚂᚒᚌᚒᚊᚏᚔᚈ    ᚋᚐᚊᚔ    ᚊᚏᚔᚈᚈᚔ   |LUGUQRIT MAQI/ QRITTI|0.20|1.17|0.12
147._Ballineesteenigh|  ᚋᚑᚔᚅᚓᚅᚐ  ᚋᚐᚊᚔ  ᚑᚂᚐᚉᚑᚅ |MOINENA MAQI OLACON|0.33|1.93|0.36
15._Clonmore|ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏ          ᚏᚓᚅᚔ |Macalister (1945, 18): RENI|0.30|0.78|0.22
150._Ballinrannig III|ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏ          ᚌᚏᚐᚃᚔᚉᚐᚄ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚇᚑᚃᚃᚔᚅᚔᚐᚄ  ᚉᚒᚐᚌᚓ          ᚅᚐᚃᚔᚉᚐᚄ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚄ    ᚋᚉᚋᚐᚅᚒᚄ      ᚌᚏᚐᚃᚔᚉᚐᚄ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑ |Macalister (1945, 146): GRAVICAS MAQI MUCOI/ DOVVINIAS Cuppage (1986, 251): NAVICAS MAQI MUCOI/ S McManus (1991, 66): GRAVICAS MAQI MUCO/|0.34|1.16|0.14
151._Ballinrannig IV|  ᚁᚏᚑᚔᚅᚔᚑᚅᚐᚄ   |BROINIONAS|0.26|0.82|0.25
152._Ballinrannig V|  ᚌᚂᚒᚁᚁᚔᚐᚄ  ᚋᚐᚊᚊᚔ  ᚇᚅᚔᚐᚄ |G/LUBBIAS MAQQI/ DN/IA?S|0.39|0.97|0.17
153._Ballinrannig VI|  ᚉᚉᚔᚉᚐᚋᚔᚅᚔ  ᚋᚐᚊᚊᚔ  ᚉᚐᚈᚈᚔᚅᚔ |CCICAMINI MAQ/Q/I CATTINI|0.30|1.02|0.18
154._Ballinrannig VII|  ᚉᚒᚅᚐᚋᚐᚊᚊᚔ  ᚉᚑᚏᚁᚁᚔ  ᚋᚐᚊᚊᚔ  ᚋᚒᚉᚉᚑᚔ  ᚇᚑᚃᚃᚔᚅᚔᚐᚄ |CUNAMAQQI CORBBI MAQQI MUCCOI DOVVINIAS|0.51|1.73|0.18
155._Ballintaggart I|  ᚐᚕᚓᚃᚏᚔᚈᚈᚔ |AKEVRITTI|0.36|0.97|0.15
156._Ballintaggart II|  ᚋᚐᚊᚊᚔᚔᚐᚏᚔ  ᚕᚑᚔ  ᚋᚐᚊᚊᚔ  ᚋᚒᚉᚉᚑᚔ  ᚇᚑᚃᚃᚔᚅᚔᚐᚄ |MAQQI-IARI KOI MA/QQI MU/CCOI DOVVINIAS|0.33|1.07|0.13
157._Ballintaggart III|  ᚇᚑᚃᚓᚈᚔ  ᚋᚐᚊᚊᚔ    ᚉᚐᚈᚈᚔᚅᚔ |DOVETI MAQQI/ CATTI/NI|0.34|0.94|0.15
158._Ballintaggart IV|  ᚄᚒᚃᚐᚂᚂᚑᚄ  ᚋᚐᚊᚊᚔ    ᚇᚒᚉᚑᚃᚐᚏᚑᚄ |SUVALLOS MAQ/QI DU/COVAROS|0.36|0.56|0.13
159._Ballintaggart V|    ᚋᚐᚊᚔᚇᚓᚉᚉᚓᚇᚐ    ᚋᚐᚊᚔ  ᚌᚂᚐᚄᚔᚉᚑᚅᚐᚄ |MAQI-DECCEDA/ MAQI/ GLASICONAS|0.33|1.27|0.25
16._Rathglass|    ᚇᚒᚅᚐᚔᚇᚑᚅᚐᚄ    ᚋᚐᚊᚔ  ᚋᚐᚏᚔᚐᚅᚔ   |DUNAIDONAS/ MAQI MARIANI|0.62|1.3|0.82
160._Ballintaggart VI|    ᚈᚏᚔᚐ  ᚋᚐᚊᚐ  ᚋᚐᚔᚂᚐᚌᚅᚔ  ᚉᚒᚏᚉᚔᚈᚈᚔ |TRIA MAQA MAILAGNI/ CURCITTI|0.41|1.07|0.20
161._Ballintaggart VII|  ᚔᚅᚔᚄᚄᚔᚑᚅᚐᚄ |INISSIO/NAS|0.33|0.97|0.20
162._Ballintaggart VIII|  ᚉᚒᚅᚐᚋᚐᚊᚊᚔ  ᚐᚃᚔ  ᚉᚑᚏᚁᚁᚔ |CUNAMAQQI/ AVI CORBBI|0.41|1.19|0.23
163._Ballintaggart IX|  ᚅᚓᚈᚈᚐᚂᚐᚋᚔᚅᚐᚉᚉᚐ  ᚕᚑᚔ  ᚋᚐᚊᚊᚔ  ᚋᚒᚉᚑᚔ  ᚇᚑᚃᚔᚅᚔᚐᚄ |NETTA-LAMINACCA KO/I MA/QQI MUCOI DOVINIAS|0.56|1.04|0.18
166._Ballinvoher|    ᚉᚑᚔᚋᚐᚌᚅᚔ  ᚋᚐᚊᚔ  ᚃᚔᚈᚐᚂᚔᚅ |COIMAGNI MAQI VITALIN|0.47|1.22|0.10
17._Tuckamine|  ᚋᚒᚉᚑᚔ  ᚋᚒᚉᚉᚔ |...MUCOI MUCCI...|0.34|1.12|0.27
170._Ballymorereagh|  ᚊᚓᚅᚔᚂᚑᚉᚔ  ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚐᚔᚅᚔᚐ  ᚋᚒᚉᚑᚔ |QENILOCI MAQI MAQI-AINIA MUCOI|0.46|1.68|0.28
171._Ballynahunt|  ᚇᚒᚌᚓᚅᚅᚌᚔ  ᚋᚐᚊᚔ  ᚏᚑᚇᚑᚄ   |DUGENNGI MAQI RODOS|0.42|1.52|0.13
172._Ballywiheen|  ᚈᚑᚌᚔᚈᚈᚐᚉᚉ  ᚋᚐᚊᚔ  ᚄᚐᚌᚐᚏᚓᚈᚈᚑᚄ |TOGITTACC MAQI SAGARETTOS|0.46|1.92|0.16
173._Brackloon|      ᚋᚐᚊᚔ  ᚋᚒᚉᚉᚑᚔ   |MAQI MUCCOI|||
175._Burnham West|  ᚋᚐᚊᚊᚔᚓᚏᚉᚉᚔᚐ  ᚋᚐᚊᚊᚔ  ᚋᚒᚉᚑᚔ  ᚇᚑᚃᚔᚅᚔᚐ |MAQQI-ERCCIA MAQQI MUCOI DOVINIA|0.38|1.02|0.33
178._Coumeenole|  ᚓᚏᚉ  ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚓᚏᚉᚔᚐᚄ  ᚋᚒ  ᚇᚑᚃᚔᚅᚔᚐ |ERC MAQI MAQI-ERCIAS MU DOVINIA|0.45|2.00|0.30
180._Emlagh East|    ᚁᚏᚒᚄᚉᚉᚑᚄ    ᚋᚐᚊᚊᚔ    ᚉᚐᚂᚔᚐᚉᚔ   |BRUSCCOS MAQQI CALIACI|0.61|2.39|0.28
181._Emlagh West|    ᚈᚐᚂᚐᚌᚅᚔ  ᚋᚐᚊᚔ   |TALAGNI MAQI|0.36|1.08|0.24
185._Inishvickillane|ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏᚄ  ᚏᚓᚐᚇᚔᚅᚌ          ᚉᚑᚁᚁᚐ  ᚐᚃᚔ  ᚃᚂᚐᚈᚔᚐᚋᚔ  ᚋᚐᚊ |Macalister's reading (1945, 179): CO?BBA? AVI VLATIAMI MAQ...|0.15|1.05|0.18
186._Kilfountain|    ᚑᚌᚆᚐᚋ  ᚓᚊᚑᚇᚇᚔ      ᚆᚐᚂᚃᚒᚅᚉᚔᚐᚂ  ᚄᚉᚔ  ᚃᚔᚅᚈᚓᚅ |Ogham: EQODDI Half-uncial: SCI FINTEN|0.25|1.50|0.09
187._Kilmalkedar|  ᚏᚓᚋᚐᚔᚅᚄ  ᚑᚃ  ᚓᚐᚏᚂᚔᚓᚏ  ᚔᚅᚄᚉᚏᚔᚈᚔᚑᚅ  ᚐᚅᚋ  ᚂᚐᚈᚓᚏ  ᚔᚅᚄᚉᚏᚔᚈᚔᚑᚅ  ᚐᚅᚋ  ᚋᚐᚔᚂᚓᚔᚅᚁᚔᚏ  ᚋᚐᚉᚔ  ᚁᚏᚑᚉᚐᚅᚅ |Remains of earlier inscription: ANM Later inscription: ANM MAILE-INBIR/ MACI BROCANN|0.22|1.65|0.22
188._Kinard East I|    ᚋᚐᚏᚔᚐᚅᚔ |MARIANI|0.53|1.80|0.28
189._Kinard East II|ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏ  ᚏᚓᚐᚇᚔᚅᚌ  ᚈᚑᚇᚑᚅ            ᚄᚐᚅᚌᚈᚔ  ᚂᚂᚑᚈᚓᚈᚔ  ᚐᚃᚔ    ᚄᚏᚒᚄᚐ  ᚋᚉᚋᚐᚅᚒᚄ  ᚏᚓᚐᚇᚔᚅᚌ  ᚒᚈᚑ      ᚐ  ᚉᚒᚏᚉᚔᚈᚔ  ᚃᚓᚃᚑᚇᚇᚔᚒᚌᚐᚉ |Macalister reading top-down (1945, 182): SANGTI LLOTETI AVI SRUSA McManus' reading up-top (1986, 21): A CURCITI VEVODDIUGWAC|0.52|1.80|0.16
19._Colbinstown I|    ᚑᚌᚆᚐᚋ  ᚑᚃᚐᚅᚑᚄ  ᚐᚃᚔ  ᚔᚃᚐᚉᚐᚈᚈᚑᚄ    ᚏᚑᚋᚐᚅ  ᚔᚃᚃᚓᚅᚏᚓ  ᚇᚏᚃᚃᚔᚇᚓᚄ |Ogham: OVANOS AVI I/VACA/TTOS Roman: IVVEn/rE DRVVIDES|0.28|1.57|0.28
190._Lugnagappul I|  ᚌᚑᚄᚄᚒᚉᚈᚈᚔᚐᚄ |GOSSUCTTIAS|0.41|0.91|0.30
191._Lugnagappul II|  ᚌᚐᚋᚔᚉᚒᚅᚐᚄ |GAMICUNAS|0.37|0.91|0.19
192._Martramane|    ᚊᚓᚅᚔᚂᚑᚉᚐᚌᚅᚔ  ᚋᚐᚊᚔ  ᚇ |QENILOCAGNI MAQI D...|0.30|1.15|0.18
193._Maumanorig|  ᚐᚅᚋ  ᚉᚑᚂᚑᚂᚈᚆᚋᚐᚅ  ᚐᚂᚔᚈᚆᚔᚏ |ANM COL(OLTH)MAN ALITHIR|1.58|1.15|0.54
195._Rathmalode I|    ᚉᚒᚏᚉᚔ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚃᚑ |CURCI MAQI MUCOI VO|0.28|1.04|0.10
196._Rathmalode II|    ᚓᚏᚉᚐᚃᚔᚉᚉᚐᚄ  ᚋᚐᚊᚔ  ᚉᚑ |ERCAVICCAS MAQI CO|0.33|1.24|0.09
197._Coolmagort I|    ᚇᚓᚌᚑᚄ    ᚋᚐᚊᚔ  ᚋᚑᚉᚑᚔ    ᚈᚑᚔᚉᚐᚕᚔ   |DEGO{S} MAQI MOCOI TOICAKI|0.52|2.10|0.20
198._Coolmagort II|    ᚋᚐᚊᚔᚏᚔᚈᚓᚐᚄ    ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚇᚇᚒᚋᚔᚂᚓᚐᚄ  ᚋᚒᚉᚑᚔ    ᚈᚑᚔᚉᚐᚉᚔ   |MAQI-RITEAS MAQI MAQI-DDUMILEAS/ MUCOI TOICACI|0.48|2.65|0.20
199._Coolmagort III|    ᚉᚒᚅᚐᚉᚓᚅᚐ     |CUNACENA|0.30|1.20|0.11
20._Colbinstown II|  ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏ  ᚃᚏᚑᚋ  ᚉᚐᚄᚈ      ᚋᚐᚊᚔᚇᚇᚓᚉᚉᚓᚇᚐ    ᚋᚐᚊᚔ    ᚋᚐᚏᚔᚅ   |Macalister (from cast) MAQI-DDECCEDA MAQI MARIN|||
200._Coolmagort IV|      ᚋᚐᚊᚔᚈᚈᚐᚂ    ᚋᚐᚊᚔ  ᚃᚑᚏᚌᚑᚄ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ    ᚈᚑᚔᚉᚐᚉ     |MAQI-TTAL MAQI VORGOS MA/QI MU/COI TOICAC|0.30|1.48|0.15
201._Coolmagort V|  ᚋᚉ  ᚌᚓ  ᚋᚐᚊ  ᚇᚓ   |MC GE?/ MAQ D/E?|0.45|1.30|0.10
202._Coolmagort VI|    ᚅᚔᚑᚈᚈᚃᚏᚓᚉᚉ    ᚋᚐᚊᚔ  ᚌᚅᚔ |NIOTTVRECC MAQI/ GNI|0.23|1.30|0.23
203._Coolmagort VII|    ᚋᚐᚊᚔᚇᚓᚉᚓᚇᚐ  ᚋᚐᚊᚔ |MAQI-DECEDA MAQI|0.29|0.86|0.10
205._Derrygariff|    ᚄᚁᚅᚐᚌ  ᚋᚐᚊᚊᚔᚏᚉᚔᚐ |SBNAG MAQQI-RCIA|0.24|0.64|0.22
206._Kilcoolaght East I|ᚃᚔᚏᚄᚈ  ᚔᚅᚄᚉᚏᚔᚈᚔᚑᚅ  ᚐᚅᚋ  ᚃᚔᚏᚏᚐᚉᚉᚐᚅᚅᚔ    ᚈᚔᚌᚔᚏᚅ  ᚄᚓᚉᚑᚅᚇ  ᚔᚅᚄᚉᚏᚔᚈᚔᚑᚅ  ᚉᚈᚓᚇᚐᚈᚈᚑᚊᚐ  ᚋᚐᚊᚔ    ᚃᚓᚇᚓᚂᚋᚓᚈᚈᚑ |First inscription: [AN]M VIRRACC/ANNI TIGIR[N] Second inscription: C/TEDATTOQA MAQI/ VEDELMETTO|0.24|0.76|0.20
207._Kilcoolaght East II|  ᚓᚉᚉ  ᚋᚐᚊᚔ  ᚂᚒᚌᚒᚊᚏᚏᚔᚈ |ECC MAQI LUGUQRRIT|0.13|0.73|0.12
208._Kilcoolaght East III|  ᚒᚋᚐᚂᚂ   |UMALL|||
209._Kilcoolaght East IV|  ᚐᚌᚌᚑ  ᚋᚐᚊᚔ  ᚐᚌᚔᚂᚂ |AGGO MAQI AGILL|0.24|0.74|0.18
210._Kilcoolaght East V|  ᚇᚒᚁᚓᚁ    ᚊᚅ |DUBEB Q/N|0.11|0.51|0.15
211._Kilcoolaght East VI|  ᚏᚔᚈᚈᚐᚃᚃᚓᚉᚉ  ᚋᚐᚊᚔ  ᚃᚓᚇᚇᚑᚅᚑᚄ |[RI]TTAVVECC MAQI VEDDONOS|0.22|0.67|0.13
212._Kilcoolaght East VII|  ᚂ    ᚋ |L M|0.14|0.76|0.10
213._Kilcoolaght East VIII|  ᚒᚏᚌ   |URG|0.10|0.30|0.08
215._Whitefield I|    ᚐᚂᚐᚈᚈᚑ    ᚉᚓᚂᚔ  ᚁᚐᚈᚈᚔᚌᚅᚔ |ALATTO CELI BAT/TIG/NI|0.30|1.14|0.13
216._Whitefield II|    ᚌᚑᚄᚑᚉᚈᚓᚐᚄ  ᚋᚑᚄᚐᚉ  ᚋᚐᚕᚔᚅᚔ |GOSOCTEAS MOSAC MAKINI|0.30|1.42|0.15
217._Whitefield III|    ᚅᚑᚉᚐᚈᚔ  ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚏᚓᚈ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚒᚇᚇᚐᚋᚔ |NOCATI MAQI MAQI-RET/ MAQI MUCOI UDDAMI|0.23|0.99|0.02
218._Whitefield IV|    ᚂᚐᚌᚑᚁᚁ  ᚋᚒᚉᚑ  ᚈᚒᚉᚐᚉᚐᚉ |LAGOBB/ MUCO TUCACAC|0.26|1.00|0.22
22._Colbinstown IV|    ᚓᚌᚅᚔ  ᚕᚑᚔ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ    ᚐᚔ |EGNI KOI MAQI MUC/OI AI|0.48|1.6|0.41
