Stone|Inscription|Transcription|Width|Height|Depth
220._Derrynane|    ᚐᚅᚋ  ᚂᚂᚐᚈᚔᚌᚅᚔ  ᚋᚐᚊ  ᚋᚔᚅᚓᚏᚉ    ᚋᚒᚉᚑᚔ  ᚊᚉᚔ |ANM LLATIGNI MAQ MINERC/ MUCOI QCI?|0.51|2.11|0.30
223._Parknasilla|    ᚐᚅᚋ  ᚃᚔᚅᚅᚐᚌᚔᚈᚂᚓᚈ|ANM VINNAGITLET|0.30|1.08|0.18
23._Colbinstown V|  ᚐᚃᚄᚄᚋᚐᚊᚃᚄ|AVSSMAQVS|0.50|1.0|0.28
230._Cloghanecarhan|      ᚓᚊᚊᚓᚌᚌᚅᚔ  ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚉᚐᚏᚐᚈᚈᚔᚅᚅ   |EQQEGGNI MAQI MAQI-CARATTINN|0.38|2.08|0.18
241._Kilbonane|ᚇᚓᚈᚓᚏ  ᚐᚅᚌᚂᚓ    ᚁᚐᚔᚇᚐᚌᚅᚔ  ᚋᚐᚊᚔ  ᚐᚇᚇᚔᚂᚑᚅᚐᚄᚔᚅᚔᚄᚈᚓᚏ  ᚐᚅᚌᚂᚓ    ᚅᚐᚌᚒᚅᚔ  ᚋᚒᚉᚑ  ᚁᚐᚔᚇᚐᚅᚔ    ᚃᚐᚉᚓ  ᚑᚃ  ᚄᚈᚑᚅᚓ  ᚅᚔᚏᚋᚅᚔᚇᚐᚌᚅᚔᚓᚄᚄᚔᚉᚑᚅᚔᚇᚇᚐᚂᚐ  ᚐᚋᚔᚈ  ᚁᚐᚔᚇᚐᚌᚅᚔ|Dexter angle: BAIDAGNI MAQI ADDILONASinister angle: NAGUNI MUCO BAIDANI Face of stone: NIR[???]MNIDAGNIESSICONIDDALA/ AMIT BAIDAGNI|0.41|1.91|0.18
242._Parkavonear|ᚁᚏᚏᚒᚐᚓᚅᚐᚅᚅ |BRRUA/ENANN|0.26|1.54|0.18
246a._Ardcanaght I|    ᚃ  ᚋᚐᚊᚔ   |V MAQI|0.43|0.42|0.15
246b._Ardcanaght II|  ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏᚄ        ᚏᚓᚐᚇᚔᚅᚌ  ᚂᚋᚉᚁᚂᚈᚉᚂᚂᚈ   |Macalister's (1945, 241-2) reading: LMCBLTCL/LT|0.15|0.86|0.14
25._Colbinstown VII|  ᚂᚐ |LA|0.37|0.36|0.23
252._Gurrane|    ᚇᚒᚋᚓᚂᚔ  ᚋᚐᚊᚔ  ᚌᚂᚐᚄᚔᚉᚑᚅᚐᚄ  ᚅᚔᚑᚈᚈᚐ  ᚉᚑᚁᚏᚐᚅᚑᚏᚐ |DUMELI MAQI GLASICONAS NIOTTA COBRANORA|0.32|1.19|0.41
253._Killorglin|    ᚌᚐᚂᚓᚑᚈᚑᚄ |GALEOTOS|0.45|1.2|0.42
255._Tinnahally I|  ᚏᚓᚋᚐᚔᚅᚄ  ᚑᚃ  ᚓᚐᚏᚂᚔᚓᚏ  ᚔᚅᚄᚉᚏᚔᚈᚔᚑᚅ  ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏᚄ  ᚏᚓᚐᚇᚔᚅᚌ  ᚉᚔᚂᚐ  ᚋᚐᚊᚊᚔ  ᚁᚐᚌᚅᚔ    ᚂᚐᚈᚓᚏ  ᚔᚅᚄᚉᚏᚔᚈᚔᚑᚅ    ᚐᚅᚋ  ᚃᚒᚏᚒᚇᚇᚏᚐᚅᚅ  ᚋᚐᚊᚔ  ᚇᚑᚂᚔᚌᚓᚅᚅ |Remains of earlier inscription (Macalister's reading): CILA MAQQI BAGN/I Later inscription: ANM VURUDDRANN MAQ/I DO/LIGENN|0.30|1.83|0.28
256._Tinnahally II|    ᚐᚅᚋ  ᚈᚓᚌᚐᚅᚅ  ᚋᚐᚉ  ᚇᚓᚌᚂᚐᚅᚅ |ANM TEGANN MAC DEGL/ANN|0.43|1.78|0.56
26._Donaghmore|    ᚅᚓᚈᚈᚐᚃᚏᚑᚔᚉᚉ  ᚋᚐᚊᚔ  ᚋᚒᚉᚉᚑᚔ  ᚈᚏᚓᚅᚐᚂᚒᚌᚌᚑ |NETTAVROICC/ MAQI MUCCOI TRENALUGGO|0.36|0.76|0.23
263._Ardmore I|  ᚂᚒᚌᚒᚇᚓᚉᚉᚐᚄ  ᚋᚐᚊᚔᚋᚒᚉᚑᚔ  ᚅᚓᚈᚐᚄᚓᚌᚐᚋᚑᚅᚐᚄ  ᚇᚑᚂᚐᚈᚔ  ᚁᚔᚌᚐᚔᚄᚌᚑᚁ |LUGUDECCAS MAQI/MU/COI NETA-SEGAMONAS/ DOLATI BIGAISGOB...|0.28|1.27|0.30
264._Ardmore II|  ᚅᚐᚉᚔ  ᚋᚐᚊᚔ   |...NACI MAQI ...|0.30|0.86|0.05
265._Ardmore III|  ᚐᚋᚐᚇᚒ |AMADU|0.33|1.33|0.23
266._Dromore I|  ᚉᚑᚂᚂᚐᚁᚑᚈ  ᚋᚒᚉᚑᚔ  ᚂᚒᚌᚐ  ᚋᚐᚊᚔ  ᚂᚑᚁᚐᚉᚉᚑᚅᚐ |COLLABOT MUCOI LUGA/ MAQI LOBACCONA|0.51|1.32|0.13
267._Dromore II|    ᚋᚓᚇᚒᚄᚔ  ᚋᚐᚉᚔ  ᚂᚒ  ᚋᚒᚉᚑᚔ  ᚂᚒᚌᚐ |MEDUSI MACI LU/ MUCOI LUGA|0.41|1.30|0.25
268._Dromore III|  ᚉᚐᚈᚈᚒᚃᚔᚏ |CATTUVIR|0.30|1.42|0.28
272._Drumlohan I|  ᚋᚐᚅᚒ  ᚋᚐᚌᚒᚅᚑ  ᚌᚐᚈᚔ  ᚋᚑᚉᚑᚔ  ᚋᚐᚉᚑᚏᚁᚑ   |MANU MAGUNO GATI MOCOI MACORBO|0.20|1.52|0.20
273._Drumlohan II|  ᚉᚐᚂᚒᚅᚑᚃᚔᚉᚐ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚂᚔᚈᚓᚅᚔ   |CALUNOVICA MAQI MUCOI LITENI|0.42|1.67|0.30
274._Drumlohan III|  ᚋᚐᚊᚔᚔᚅᚔ  ᚋᚐᚊᚔ  ᚊᚓᚈᚈᚓᚐᚄ   |MAQI-INI MAQI QETTEAS|0.33|1.55|0.17
275._Drumlohan IV|  ᚉᚒᚅᚐᚂᚓᚌᚓᚐ  ᚋᚐᚊᚔ  ᚉᚄᚐᚂᚐᚏ  ᚉᚓᚂᚔ  ᚐᚃᚔ  ᚊᚃᚓᚉᚔ   |CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI|0.34|1.49|0.17
276._Drumlohan V|  ᚁᚔᚌᚒ  ᚋᚐᚊᚔ  ᚂᚐᚌ   |BIGU MAQI LAG|0.39|1.40|0.10
277._Drumlohan VI|  ᚁᚔᚏ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚏᚑᚈᚈᚐᚔᚄ   |BIR MAQI MUCOI ROTTAIS|0.29|1.14|0.20
278._Drumlohan VII|    ᚋᚐᚊᚔ  ᚅᚓᚈᚐᚄ   |MAQI NETAS|0.27|1.24|0.22
279._Drumlohan VIII|    ᚇᚓᚅᚐᚃᚓᚉᚐ    ᚋᚒᚉᚑᚔ  ᚋᚓᚇᚐᚂᚑ |DENAVECA MUCOI MEDALO|0.46|1.07|0.24
28._Churchclara I|  ᚈᚐᚄᚓᚌᚐᚌᚅᚔ  ᚋᚐᚊ  ᚔ    ᚋᚒᚉᚑᚔ    ᚋᚐᚉᚑᚏᚁᚑ |TASEGAGNI/ MAQ/ I MUCOI MACORBO|0.20|1.57|
280._Drumlohan IX|    ᚁᚏᚑᚔᚅᚔᚑᚅᚐᚄ   |BROINIONAS|0.51|1.12|0.22
281._Drumlohan X|    ᚇᚓᚐᚌᚑᚄ    ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚅᚐᚔ   |DEAGOS MAQI MUCOI NAI|0.66|0.97|0.09
285._Kilbeg|  ᚁᚔᚃᚑᚇᚑᚅ  ᚋᚒᚉᚑᚔ  ᚐᚈᚐᚏ |BIVODON MUCOI ATAR|0.27|1.17|0.14
292._Knockboy I|  ᚓᚏᚐᚈᚔ  ᚋᚒᚉᚑᚔ  ᚅᚓᚈᚐᚄᚓᚌᚐᚋᚑᚅᚐᚄ |ERATI MUCOI NETA-S/EGAMONAS|0.56|1.78|0.23
293._Knockboy II|    ᚏᚌᚁᚉᚐᚏᚉᚓᚅ |RGBCARCEN|0.23|1.32|0.27
294._Knockboy III|    ᚉᚑᚏᚁ |CORB|0.05|0.36|
295._Knockboy IV|  ᚊᚓᚉᚉᚔᚐᚄ  ᚋᚒᚉᚑᚔ  ᚁᚏᚑᚓᚅᚔᚑᚅᚐᚄ |QECCIAS MUCOI BROENIONAS|0.27|1.88|0.25
296._Knockboy V|  ᚉᚔᚏ  ᚋᚐᚊᚔ  ᚋᚒᚉ |CIR MAQI MUC|0.38|1.45|0.18
297._Knockboy VI|  ᚃᚑᚏᚈᚔᚌᚒᚏᚅ   |VORTIGURN|0.20|1.20|0.18
298._Knockboy VII|    ᚃᚓᚇᚐᚁᚐᚏ  ᚋᚐᚊᚔᚂᚄᚋ  ᚋᚑᚉᚑᚔ  ᚑᚇᚏᚏᚓᚐ |VEDABAR MAQILSM/ MOCOI ODR/REA|0.23|1.02|0.17
299._Knockboy VIII|    ᚋᚐᚊᚔ  ᚋᚑᚅᚌᚓᚇᚔᚐᚄ  ᚋᚐᚊᚔ  ᚋᚒᚔᚁᚔᚈᚔ |MAQI MONGEDIAS/ MAQI/ MUIBITI|0.28|0.66|0.10
300._Island|  ᚉᚒᚅᚐᚅᚓᚈᚐᚄ  ᚋᚐᚊᚔ  ᚋᚋᚒᚉᚑᚔ  ᚅᚓᚈᚐᚄᚓᚌᚐᚋᚑᚅᚐᚄ |CUNANETAS MAQ/I MMUC/OI NETA-SEGAMONAS|0.49|1.42|0.15
31._Fiddaun Upper|  ᚇᚏᚒᚌᚅᚑ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚅᚐᚋᚔ |DRUGNO MAQI/ MUCOI NAMI|0.76|2.06|0.50
32._Gowran|  ᚋᚐᚊᚔ  ᚓᚏᚐᚉᚔᚐᚄ  ᚋᚐᚊᚔ  ᚇᚔᚋᚐᚊᚐ  ᚋᚒᚉᚑᚔ |MAQI ERACIAS MAQI/ DIMAQA MUCOI|0.38|1.50|0.30
34._Legan|ᚁᚐᚏᚏ          ᚂᚑᚁᚁᚔ  ᚕᚑᚔ  ᚋᚐᚊᚊᚔ  ᚋᚒᚉᚉᚑᚔ  ᚔᚏᚓᚔ  ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏ          ᚂᚑᚁᚁᚔ  ᚕᚑᚔ  ᚋᚐᚊᚊᚔ  ᚋᚒᚉᚉᚑᚔ  ᚏᚔᚅᚔ  ᚋᚉᚋᚐᚅᚒᚄ        ᚂᚂ  ᚋᚐᚊᚊᚔ  ᚋᚒᚉᚉᚑᚔ   |Barry (1896, 126): LOBBI KOI MAQQI MUC/COI IR/EI Macalister (1945, 38-9): LOBBI KOI MAQQI MUC/COI R/INI McManus (1991, 67): LL MAQQI mUC/COI|0.51|2.03|0.42
35._Tullaherin I|  ᚃᚔᚏ |VIR|0.51|0.70|0.27
36._Lamoge I|  ᚄᚓᚃᚓᚏᚏᚔᚈ  ᚋᚐᚊᚔ  ᚏᚑᚈᚈᚐᚔᚄ |SEVERRIT/ MAQI/ ROTTAIS|0.66|1.37|0.30
37._Lamoge II|  ᚇᚑᚃᚐᚈᚒᚉᚊᚔ  ᚐᚃᚔ  ᚈᚒᚂᚑᚈᚐᚅᚐᚌᚔᚐ |DOVATUC/QI AV/I/ TULOTANAGIA|0.38|1.37|0.28
38._Ballyboodan|    ᚉᚑᚏᚁᚔ  ᚕᚑᚔ  ᚋᚐᚊᚔ  ᚂᚐᚁᚏᚔᚇ   |CORBI KOI MAQI LABRID|1.75|2.31|0.23
4._Kilmannin|      ᚂᚒᚌᚐᚇᚇᚑᚅ    ᚋᚐᚊᚔ  ᚂᚒᚌᚒᚇᚓᚉ  ᚇᚇᚔᚄᚔ  ᚋᚑᚉᚊᚒᚄᚓᚂ|LUGADDON MAQ/I LUGU/DEC DDISI/ MOCQUS/EL|0.51|1.22|0.3
40._Painestown|    ᚋᚐᚊᚔᚉᚐᚔᚏᚐᚈᚔᚅᚔ  ᚐᚃᚔ  ᚔᚅᚓᚊᚐᚌᚂᚐᚄ |MAQI-CAIRATINI AVI INEQAGLAS|0.76|2.24|0.33
46._Houseland|    ᚄᚓᚇᚐᚅᚔ  ᚋᚐᚊᚔ  ᚉᚐᚈᚈᚐᚁᚁᚑᚈᚈ  ᚐᚃᚃᚔ  ᚇᚓᚏᚉᚋᚐᚄᚑᚉ |SEDANI MAQI CATTABBOTT AVVI DERCMASOC|0.30|1.18|0.20
47._Castletimon|  ᚅᚓᚈᚐᚉᚐᚏᚔ    ᚅᚓᚈᚐᚉᚐᚌᚔ |NETACARI NETACAGI|0.48|1.50|0.25
48._Donard|  ᚔᚐᚊᚔᚅᚔ  ᚕᚑᚔ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ |IAQINI KOI/ MAQI MUCOI|0.69|1.52|0.53
49._Baltinglass|  ᚃᚏᚐᚌᚋᚓᚅᚈ      ᚉᚉᚔ  ᚋᚐᚊ  ᚃᚏᚐᚌᚋᚓᚅᚈ      ᚔᚅᚔ |Fragment 1 - CCI MAQ Fragment 2 - INI|0.51|0.67|0.03
50._Boleycarrigeen|  ᚃᚑᚈᚔ |VOTI|0.30|0.76|0.28
51._Knickeen|  ᚋᚐᚊᚔ  ᚅᚔᚂᚔ |MAQI NILI|2.03|2.37|0.58
57._Greenhill I|      ᚈᚏᚓᚅᚒ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ    ᚊᚏᚔᚈᚈᚔ |TRENU MAQI MUCOI QRITTI|0.72|2.60|0.35
58._Greenhill II|      ᚉᚐᚈᚈᚒᚁᚒᚈᚈᚐᚄ  ᚋᚐᚊᚔ   |CATTUBUTTAS MAQI|0.46|1.54|0.36
66._Faunkill and the Woods|      ᚋᚐᚊᚔᚇᚓᚉᚉᚓᚇᚇᚐᚄ  ᚐᚃᚔ    ᚈᚒᚏᚐᚅᚔᚐᚄ |MAQI-DECCEDDAS AVI TURANIAS|1.02|4.70|0.32
69._Ahalisky I|    ᚌᚔᚏᚐᚌᚅᚔ   |GIRAGNI|0.36|1.35|0.34
70._Ahalisky II|    ᚉᚒᚅᚐᚌᚒᚄᚑᚄ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚃᚔᚏᚐᚌᚅᚔ   |CUNAGUSOS MAQI MUCOI VIRA/GNI|0.64|1.52|0.22
71._Ahalisky III|      ᚉᚑᚔᚋᚐᚌᚅᚔ    ᚋᚐᚊᚔ  ᚋᚑᚉᚑᚔ  ᚌ   |COIMAGNI MAQI MOCOI G|0.3|0.97|0.13
79._Rathcanning I|    ᚈᚒᚂᚓᚅᚐ  ᚋᚒᚉ  ᚏᚐᚅ   |TULENA MUC RAN|0.61|1.73|0.14
80._Rathcanning II|    ᚋ     |?M?|0.10|0.23|0.10
97._Ballyhank I|  ᚂᚂ  ᚋᚐᚊᚔ  ᚃᚑᚏᚏᚈᚔᚌᚒᚏᚅ |LL MAQI VORR/TIGUR/N|0.30|0.60|0.10
98._Ballyhank II|    ᚉᚑᚏᚁᚐᚌᚅᚔ  ᚕᚑᚔ  ᚋᚐᚊᚔ  ᚋᚑᚉᚉᚑᚔ  ᚉᚑᚏᚑᚈᚐᚅᚔ |CORBAGNI/ KOI MAQI MOC/COI COROTANI|0.4|0.9|0.2
99._Ballyhank III|  ᚄᚐᚉᚐᚈᚈᚔᚅᚔ |SACATTI/NI|0.50|1.20|0.25
Ardfert II|  ᚑᚉᚌᚔᚉ |OC/GIC|0.23|0.86|0.15
Ballybarrack|  ᚂᚓᚃᚈ  ᚐᚅᚌᚂᚓ    ᚋᚐᚊᚔᚉᚑᚏᚐᚁᚔᚏ  ᚋᚐᚊᚔ  ᚈᚐᚅᚁ  ᚏᚔᚌᚆᚈ  ᚐᚅᚌᚂᚓ    ᚅᚓᚈᚐᚄᚐᚂᚐᚌᚔᚐ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ |Left angle: MAQI-CORABIR MAQI TANB Right angle: NETA-SALAGIA MAQI MUCOI|0.50|1.06|0.25
Bunkilla|    ᚐᚅᚋ    ᚋᚐᚊᚊᚔᚂᚐᚄᚔᚏᚓ  ᚋᚐᚊᚊᚔ  ᚁᚔᚏᚏᚐᚉ |ANM MAQQI-LASIRE MAQQI BIRRAC...?|0.30|2.20|0.15
Church Island|  ᚃᚑᚂᚂᚑᚔᚅᚌ  ᚋᚉᚋᚐᚅᚒᚄ          ᚁᚓᚉᚉᚇᚔᚅᚅ  ᚋᚐᚉᚔ  ᚏᚔᚈᚈᚓᚉᚉ |Following McManus (1991, 69-70): BECCDINN MACI/ R/ITTECC|0.36|1.49|0.10
Churchclara II|  ᚌᚓᚂᚐᚌᚅᚔ  ᚐᚃᚔ   |GELAGNI AVI|0.24|1.14|
Cloghabrody|  ᚃᚓᚇᚇᚓᚂᚂᚓᚋᚓᚈᚈᚑ  ᚋᚒᚉᚔ  ᚂᚑᚌᚔᚇᚇᚓᚐᚄ  ᚐᚃᚃᚔ  ᚋᚒᚅᚔᚉᚉᚑᚅᚐ |VEDDELLEMETTO MU/CI/ LOGIDDEAS/ AVVI MUNICCONA|0.31|1.46|0.20
Coumlanders|    ᚏᚓᚈᚐᚌᚔᚅ  ᚋᚐᚊᚔ  ᚇᚑᚃᚒ   |RETAGIN MAQI DOVU|0.35|1.09|0.19
Drummin II|ᚏᚔᚌᚆᚈᚆᚐᚅᚇ  ᚐᚅᚌᚂᚓ  ᚏᚐᚃᚐᚄᚐ  ᚕᚑᚔ  ᚋᚐᚊᚊᚔ    ᚇᚈᚂ  ᚂᚓᚃᚈᚆᚐᚅᚇ  ᚐᚅᚌᚂᚓ  ᚄᚓᚅᚅ |Right-hand angle: RAVASA KOI MAQQI D/TL Left-hand angle: SENN|0.55|1.90|0.35
Kilgrovan VI|  ᚒ  ᚋᚐᚊᚔ  ᚉᚒᚋᚒᚌᚑᚇᚒᚒ  ᚋᚒᚉᚑ|...U MAQI CUMUGODU/U MUCO|0.42|0.98|0.13
Kilgrovan VII|    ᚒᚋᚒ  ᚈ |UMU T|0.09|0.26|0.03
Knockmahon I|    ᚄᚓᚅᚐᚊ    ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚓᚅᚐ   |SENAQ MAQI/ MUCOI ENA|0.30|1.20|0.24
Knockmahon II|    ᚃᚓᚇᚔᚂᚔᚋᚓᚈᚑ    ᚋᚐᚊᚔ    ᚈᚑᚊᚔᚈᚐᚊ   |VEDILIMETO/ MAQI/ TOQITAQ|0.59|0.87|0.25
Ratass|  ᚐᚅᚋ  ᚄᚔᚂᚂᚐᚅᚅ  ᚋᚐᚊ  ᚃᚐᚈᚈᚔᚂᚂᚑᚌᚌ |ANM SILLANN MAQ VATTILLOGG|0.34|1.45|0.20
Rathkenny IV|  ᚃ  ᚐ  ᚄ   |V A S|0.22|0.74|0.13
Scattery Island|  ᚅᚄ |NS|0.60|2.00|0.14
Shankill|  ᚋᚐᚊᚔᚉᚒᚅᚐᚂᚔᚌᚓᚐᚄ    ᚋᚐᚊᚔ  ᚉᚑᚔᚂᚂᚔ    ᚋᚒᚉᚑᚔ  ᚉᚑᚄᚉᚔᚓᚐᚄ   |MAQICUNALIGEAS/ MAQI COILLI/ MUCOI COSCI/EAS|0.14|0.57|0.05
Tullaherin II|  ᚇᚈ  ᚋᚒᚉᚑᚔ  ᚏᚌᚅ   |DT MUCOI RGN|0.51|1.56|0.26
